Rank,Name,G,W-L,AB,H,BA
1,Alabama St.,59,41-18,2105,699,0.332
2,Virginia,65,50-15,2310,766,0.332
3,New Mexico,51,26-25,1879,618,0.329
4,Georgia Tech,57,30-27,2052,662,0.323
5,VMI,55,26-29,1874,604,0.322
6,FGCU,60,42-18,2116,681,0.322
7,Oral Roberts,66,52-14,2340,750,0.321
8,Fairfield,55,37-18,1983,635,0.32
9,Campbell,61,46-15,2177,692,0.318
10,Stanford,64,44-20,2354,745,0.316
11,Sam Houston,64,39-25,2290,724,0.316
12,Arizona,59,33-26,2162,683,0.316
13,Wofford,59,40-19,1965,617,0.314
14,Texas Southern,53,31-22,1745,545,0.312
15,Coastal Carolina,63,42-21,2215,689,0.311
16,CSUN,51,34-17,1777,552,0.311
17,Jackson St.,53,28-25,1756,544,0.31
18,Maryland,63,42-21,2217,684,0.309
19,LSU,71,54-17,2412,744,0.308
20,UTSA,57,38-19,1994,614,0.308
21,Columbia,45,23-22,1643,503,0.306
22,Clemson,63,44-19,2209,676,0.306
23,Hofstra,52,26-26,1834,559,0.305
24,Saint Joseph's,53,28-24-1,1851,564,0.305
25,Richmond,55,27-28,1901,579,0.305
26,Quinnipiac,56,30-26,1977,601,0.304
27,Portland,54,31-23,1960,595,0.304
28,Texas Tech,64,41-23,2248,681,0.303
29,Kent St.,58,42-16,2013,609,0.303
30,ETSU,55,26-29,1882,568,0.302
31,Wichita St.,55,30-25,1907,575,0.302
32,UConn,61,44-17,2120,639,0.301
33,Mount St. Mary's,52,25-27,1773,534,0.301
34,Wake Forest,66,54-12,2269,683,0.301
35,Oklahoma St.,61,41-20,2085,627,0.301
36,UC Irvine,55,38-17,1869,562,0.301
37,UTRGV,56,30-26,1926,579,0.301
38,Jacksonville St.,57,27-30,2004,602,0.3
39,Air Force,59,28-31,2108,631,0.299
40,Michigan St.,55,33-22,1862,557,0.299
41,Little Rock,54,31-23,1848,552,0.299
42,Georgia St.,59,31-28,2057,614,0.298
43,TCU,68,44-24,2322,693,0.298
44,DBU,63,47-16,2168,647,0.298
45,Central Conn. St.,50,36-14,1767,527,0.298
46,Army West Point,56,38-18,1918,572,0.298
47,Virginia Tech,53,30-23,1858,554,0.298
48,Indiana,63,43-20,2197,655,0.298
49,Oregon,63,41-22,2167,646,0.298
50,NC State,57,36-21,1993,594,0.298
51,Santa Clara,56,36-20,1950,581,0.298
52,James Madison,56,31-25,1909,568,0.298
53,Eastern Mich.,53,27-26,1869,556,0.297
54,Austin Peay,58,26-32,1990,591,0.297
55,Lehigh,50,24-26,1694,503,0.297
56,St. John's (NY),53,28-25,1849,548,0.296
57,Miami (FL),63,42-21,2192,649,0.296
58,Saint Louis,56,33-23,1986,588,0.296
59,Grand Canyon,58,37-21,2052,607,0.296
60,Bethune-Cookman,60,33-27,2054,607,0.296
61,UNCW,57,34-23,1963,580,0.295
62,Iowa,60,44-16,2045,604,0.295
63,Northeastern,60,44-16,2079,614,0.295
64,Binghamton,52,29-23,1754,518,0.295
65,Washington,55,35-20,1980,584,0.295
66,Arizona St.,55,32-23,1909,563,0.295
67,Florida A&M,59,29-30,2077,612,0.295
68,Utah Valley,58,34-24,1987,585,0.294
69,Nebraska,57,33-23-1,1957,576,0.294
70,Sacramento St.,56,30-26,1947,573,0.294
71,West Virginia,60,40-20,2046,601,0.294
72,Oregon St.,61,41-20,2128,625,0.294
73,Rutgers,56,33-23,1918,563,0.294
74,Alabama,64,43-21,2162,634,0.293
75,Texas,64,42-22,2152,630,0.293
76,New Orleans,60,36-24,2023,592,0.293
77,Maine,53,32-21,1814,530,0.292
78,Washington St.,52,29-23,1753,512,0.292
79,East Carolina,66,47-19,2288,668,0.292
80,Davidson,54,30-24,1842,537,0.292
81,Seton Hall,55,31-24,1901,554,0.291
82,Northern Ky.,57,30-27,1978,576,0.291
83,Mississippi Val.,52,15-37,1594,464,0.291
84,A&M-Corpus Christi,54,24-30,1839,535,0.291
85,Mercer,58,33-25,1940,564,0.291
86,UMBC,57,30-27,1901,552,0.29
87,Louisiana,65,41-24,2169,629,0.29
88,Florida,71,54-17,2366,686,0.29
89,Wagner,56,32-24,1970,571,0.29
90,Kentucky,61,40-21,1971,571,0.29
91,Houston,59,36-23,2047,593,0.29
92,Delaware,59,30-29,2069,599,0.29
93,UT Arlington,58,29-29,1993,576,0.289
94,Nicholls,58,34-24,2046,591,0.289
95,Middle Tenn.,56,27-29,1939,560,0.289
96,BYU,52,24-28,1832,529,0.289
97,North Florida,55,28-27,1923,555,0.289
98,App State,55,30-25,1924,555,0.288
99,Abilene Christian,59,35-24,1952,563,0.288
100,FDU,53,31-21-1,1803,520,0.288
101,Grambling,55,29-26,1811,522,0.288
102,Sacred Heart,58,28-30,2052,591,0.288
103,SFA,50,22-28,1761,507,0.288
104,Kennesaw St.,54,25-29,1814,522,0.288
105,Penn,50,34-16,1780,511,0.287
106,UT Martin,56,22-34,1885,541,0.287
107,Eastern Ill.,59,38-21,2063,592,0.287
108,Fla. Atlantic,59,34-25,2071,594,0.287
109,Western Ky.,59,33-26,1984,569,0.287
110,Auburn,58,34-23-1,1991,571,0.287
111,George Washington,55,21-34,1925,552,0.287
112,Southern Ill.,57,30-27,2008,575,0.286
113,Old Dominion,55,32-23,1944,556,0.286
114,Mississippi St.,53,27-26,1759,503,0.286
115,Marist,52,16-36,1781,509,0.286
116,UIW,54,28-26,1860,531,0.285
117,Ole Miss,54,25-29,1815,518,0.285
118,Southern California,58,34-23-1,1942,554,0.285
119,New Mexico St.,51,14-37,1744,497,0.285
120,Bucknell,47,23-23-1,1537,438,0.285
121,Troy,62,40-22,2089,595,0.285
122,UCF,59,33-26,2038,580,0.285
123,Oklahoma,60,32-28,1998,568,0.284
124,USC Upstate,60,38-22,2050,582,0.284
125,Canisius,52,26-25-1,1733,492,0.284
126,Ga. Southern,56,27-29,1900,539,0.284
127,Towson,56,19-37,1992,565,0.284
128,UNLV,51,21-30,1814,514,0.283
129,Georgia,56,29-27,1903,539,0.283
130,Tennessee,66,44-22,2180,617,0.283
131,Southern Miss.,66,46-20,2259,639,0.283
132,Omaha,49,21-28,1627,460,0.283
133,South Dakota St.,52,24-28,1760,497,0.282
134,California Baptist,58,28-30,2008,567,0.282
135,North Carolina,60,36-24,2101,593,0.282
136,Utah,55,22-32-1,1889,533,0.282
137,San Jose St.,58,31-27,2002,564,0.282
138,Ball St.,59,36-23,2017,568,0.282
139,Penn St.,50,25-25,1727,486,0.281
140,Samford,62,37-25,2059,579,0.281
141,Col. of Charleston,58,36-22,2008,564,0.281
142,Stetson,58,35-23,1916,538,0.281
143,FIU,55,21-34,1920,539,0.281
144,Valparaiso,47,20-27,1575,442,0.281
145,Niagara,47,24-22-1,1657,465,0.281
146,Toledo,55,26-29,1948,545,0.28
147,Louisville,55,31-24,1848,517,0.28
148,Duke,63,39-24,2206,617,0.28
149,Seattle U,53,21-32,1824,510,0.28
150,Pacific,49,14-35,1697,474,0.279
151,Stony Brook,52,23-29,1835,512,0.279
152,Princeton,47,24-23,1628,454,0.279
153,Ohio,49,19-30,1686,470,0.279
154,UC Santa Barbara,55,35-20,1905,531,0.279
155,Western Mich.,52,21-31,1758,490,0.279
156,Hawaii,49,29-20,1659,462,0.278
157,UNC Asheville,52,26-26,1807,503,0.278
158,Youngstown St.,55,19-36,1909,531,0.278
159,The Citadel,54,23-31,1798,499,0.278
160,Lamar University,55,32-23,1899,527,0.278
161,Winthrop,56,28-28,1918,532,0.277
162,Cal Poly,56,21-35,1957,542,0.277
163,Purdue,53,24-29,1770,490,0.277
164,Cal St. Fullerton,56,32-24,1951,540,0.277
165,Kansas,57,25-32,1966,544,0.277
166,Tennessee Tech,55,21-34,1895,524,0.277
167,Morehead St.,56,36-20,1867,516,0.276
168,Gardner-Webb,56,31-25,1896,524,0.276
169,Arkansas St.,51,20-31,1742,481,0.276
170,Harvard,44,20-24,1525,421,0.276
171,Georgetown,57,30-27,1942,536,0.276
172,Florida St.,54,23-31,1878,518,0.276
173,South Alabama,54,23-31,1846,509,0.276
174,Western Caro.,54,21-33,1902,523,0.275
175,South Fla.,60,21-39,2074,570,0.275
176,Vanderbilt,62,42-20,2097,576,0.275
177,Xavier,64,39-25,2233,613,0.275
178,George Mason,63,36-27,2073,569,0.274
179,VCU,55,25-30,1907,523,0.274
180,Wright St.,62,39-23,2066,566,0.274
181,McNeese,58,35-23,1946,533,0.274
182,Murray St.,59,31-28,2005,549,0.274
183,Elon,55,33-22,1867,511,0.274
184,South Carolina,63,42-21,2066,565,0.273
185,North Dakota St.,53,23-30,1829,500,0.273
186,San Diego,50,24-25-1,1658,453,0.273
187,LIU,55,19-36,1904,520,0.273
188,Long Beach St.,55,33-22,1894,517,0.273
189,Arkansas,61,43-18,1990,543,0.273
190,Indiana St.,62,45-17,2122,578,0.272
191,Alcorn,48,Aug-40,1539,419,0.272
192,Houston Christian,48,Nov-37,1655,450,0.272
193,Illinois,52,25-27,1806,490,0.271
194,Boston College,57,37-20,1945,527,0.271
195,Pepperdine,49,19-30,1683,456,0.271
196,Ohio St.,56,31-25,1842,499,0.271
197,UNC Greensboro,59,25-34,2011,544,0.271
198,CSU Bakersfield,52,18-34,1739,470,0.27
199,Illinois St.,50,20-30,1754,474,0.27
200,Texas St.,59,36-23,1984,536,0.27
201,Texas A&M,65,38-27,2147,579,0.27
202,Missouri St.,56,33-23,1958,528,0.27
203,Kansas St.,59,35-24,1933,521,0.27
204,William & Mary,57,32-25,1936,521,0.269
205,Fresno St.,57,30-27,1970,530,0.269
206,Central Ark.,54,23-31,1785,480,0.269
207,UCLA,53,28-24-1,1815,488,0.269
208,SIUE,54,26-28,1861,500,0.269
209,Delaware St.,48,13-35,1669,448,0.268
210,Northern Colo.,45,Nov-34,1469,394,0.268
211,Massachusetts,49,14-35,1693,454,0.268
212,Gonzaga,52,18-34,1815,486,0.268
213,Iona,51,13-38,1724,461,0.267
214,High Point,54,20-34,1840,492,0.267
215,UIC,53,28-25,1762,471,0.267
216,Coppin St.,52,21-31,1729,462,0.267
217,Prairie View,57,20-37,1837,490,0.267
218,Saint Mary's (CA),51,23-28,1751,467,0.267
219,Missouri,54,30-24,1733,462,0.267
220,LMU (CA),53,29-24,1790,477,0.266
221,Dayton,60,26-34,2036,541,0.266
222,Northwestern St.,56,29-27,1871,497,0.266
223,Rider,57,36-21,1948,517,0.265
224,N.C. A&T,47,19-28,1590,421,0.265
225,Monmouth,46,16-30,1583,419,0.265
226,UMass Lowell,55,20-35,1841,487,0.265
227,Saint Peter's,50,Sep-41,1638,433,0.264
228,Charlotte,64,36-28,2140,563,0.263
229,Rhode Island,52,23-29,1795,472,0.263
230,Bradley,48,16-32,1587,417,0.263
231,Oakland,60,29-31,1964,516,0.263
232,Purdue Fort Wayne,56,13-43,1907,501,0.263
233,Bryant,50,26-24,1691,444,0.263
234,Liberty,58,27-31,1931,507,0.263
235,Miami (OH),56,21-35,1946,510,0.262
236,California,52,24-28,1761,461,0.262
237,Navy,50,23-27,1593,417,0.262
238,Eastern Ky.,59,29-30,2007,525,0.262
239,Southeast Mo. St.,56,26-30,1845,482,0.261
240,Western Ill.,52,Dec-40,1703,444,0.261
241,Michigan,56,28-28,1872,488,0.261
242,Ark.-Pine Bluff,51,18-33,1601,417,0.26
243,San Francisco,47,18-29,1593,414,0.26
244,Milwaukee,57,25-32,1955,508,0.26
245,Nevada,53,20-33,1800,467,0.259
246,Central Mich.,57,34-23,1928,500,0.259
247,Charleston So.,50,22-28,1612,418,0.259
248,Holy Cross,51,16-35,1620,420,0.259
249,Southern U.,51,23-28,1641,424,0.258
250,Fordham,55,19-36,1884,485,0.257
251,Manhattan,56,22-34,1869,480,0.257
252,Jacksonville,58,34-24,1929,495,0.257
253,Lipscomb,62,36-26,2033,521,0.256
254,Longwood,54,23-31,1798,460,0.256
255,Pittsburgh,55,24-31,1853,474,0.256
256,Memphis,57,29-28,1877,480,0.256
257,Belmont,60,27-33,1984,506,0.255
258,Minnesota,52,18-34,1743,444,0.255
259,North Ala.,51,14-37,1681,428,0.255
260,Evansville,61,37-24,2059,524,0.254
261,Baylor,55,20-35,1856,472,0.254
262,Marshall,53,16-37,1829,465,0.254
263,Creighton,49,25-24,1594,405,0.254
264,UAlbany,44,9-34-1,1496,380,0.254
265,Louisiana Tech,59,28-31,2007,508,0.253
266,Norfolk St.,51,Sep-42,1694,428,0.253
267,ULM,54,17-37,1790,451,0.252
268,UC Riverside,52,Nov-41,1740,438,0.252
269,Brown,38,26-Dec,1293,325,0.251
270,NIU,53,Oct-43,1747,439,0.251
271,Radford,55,Oct-45,1828,459,0.251
272,Tulane,61,19-42,2036,511,0.251
273,St. Bonaventure,48,Aug-40,1557,390,0.25
274,Rice,58,21-37,1948,486,0.249
275,San Diego St.,53,24-29,1708,426,0.249
276,Yale,40,17-23,1332,332,0.249
277,UC Davis,54,17-37,1830,456,0.249
278,Notre Dame,54,30-24,1790,446,0.249
279,Alabama A&M,48,14-34,1465,365,0.249
280,Presbyterian,55,21-34,1837,457,0.249
281,Cornell,35,26-Sep,1174,291,0.248
282,Cincinnati,57,24-33,1830,452,0.247
283,Northwestern,50,Oct-40,1708,420,0.246
284,Southeastern La.,50,25-25,1618,396,0.245
285,Akron,55,21-34,1823,444,0.244
286,Villanova,51,14-37,1692,412,0.243
287,Siena,55,14-41,1802,438,0.243
288,Butler,55,Dec-43,1853,450,0.243
289,Bowling Green,50,20-30,1607,390,0.243
290,Lafayette,52,15-37,1661,403,0.243
291,NJIT,53,22-31,1732,415,0.24
292,UAB,53,17-36,1753,406,0.232
293,UMES,55,18-37,1807,417,0.231
294,Dartmouth,41,Mar-38,1351,308,0.228
295,Hartford,37,Apr-33,1153,252,0.219
NR,Tarleton St.,52,26-26,1729,502,0.29
NR,UC San Diego,52,34-18,1784,503,0.282
NR,Merrimack,51,21-30,1779,482,0.271
NR,Southern Ind.,55,17-38,1815,488,0.269
NR,Queens (NC),55,17-38,1870,494,0.264
NR,Bellarmine,55,13-42,1833,473,0.258
NR,Utah Tech,52,13-39,1677,432,0.258
NR,Stonehill,49,14-35,1627,419,0.258
NR,St. Thomas (MN),44,Oct-34,1476,374,0.253
NR,Lindenwood,55,13-42,1774,417,0.235
,,,,,,
      ,,,,,,
