Rank,Name,G,W-L,IP,R,ER,ERA
1,Wake Forest,66,54-12,581.2,218,183,2.83
2,Tennessee,66,44-22,568,267,229,3.63
3,Northeastern,60,44-16,530.2,260,221,3.75
4,Virginia,65,50-15,573.1,278,243,3.81
5,Indiana St.,62,45-17,558,252,238,3.84
6,Lamar University,55,32-23,495,253,218,3.96
7,Oral Roberts,66,52-14,582.1,279,261,4.03
8,Penn,50,34-16,440,232,203,4.15
9,William & Mary,57,32-25,500.1,282,232,4.17
10,Texas,64,42-22,565.2,295,263,4.18
11,Iowa,60,44-16,522.1,268,243,4.19
12,South Carolina,63,42-21,541,284,252,4.19
13,Kent St.,58,42-16,512.1,274,239,4.2
14,UC Santa Barbara,55,35-20,488.2,253,228,4.2
15,McNeese,58,35-23,513.2,293,243,4.26
16,Alabama,64,43-21,555.2,293,263,4.26
17,Vanderbilt,62,42-20,547.2,291,260,4.27
18,Duke,63,39-24,562.1,314,268,4.29
19,Clemson,63,44-19,561.1,307,268,4.3
20,Kentucky,61,40-21,526.1,272,253,4.33
21,East Carolina,66,47-19,593.1,300,286,4.34
22,Rider,57,36-21,492,286,240,4.39
,UC Irvine,55,38-17,492,275,240,4.39
24,Louisville,55,31-24,481.1,276,235,4.39
25,Southern California,58,34-23-1,514,294,251,4.39
26,DBU,63,47-16,558.1,302,273,4.4
27,Wichita St.,55,30-25,474,289,232,4.41
28,Long Beach St.,55,33-22,492.1,270,241,4.41
29,Army West Point,56,38-18,477.2,269,234,4.41
30,NC State,57,36-21,504.2,294,248,4.42
31,Seton Hall,55,31-24,481.2,279,237,4.43
32,LSU,71,54-17,612.1,341,304,4.47
33,UCLA,53,28-24-1,471.2,274,236,4.5
34,West Virginia,60,40-20,527,305,264,4.51
35,Southern Miss.,66,46-20,580.1,331,291,4.51
36,Elon,55,33-22,488.1,288,246,4.53
37,Col. of Charleston,58,36-22,520.2,307,263,4.55
38,Xavier,64,39-25,561.2,313,284,4.55
39,Rutgers,56,33-23,494.1,279,250,4.55
40,Santa Clara,56,36-20,502,294,255,4.57
41,Campbell,61,46-15,546.1,334,278,4.58
42,Alabama St.,59,41-18,514.2,316,262,4.58
43,Nicholls,58,34-24,522,306,266,4.59
44,Notre Dame,54,30-24,474.2,276,243,4.61
45,Nebraska,57,33-23-1,494.2,301,255,4.64
46,TCU,68,44-24,599.1,347,309,4.64
47,North Carolina,60,36-24,534.2,314,276,4.65
48,Florida,71,54-17,613,355,317,4.65
49,Central Mich.,57,34-23,507.2,301,265,4.7
50,Oregon St.,61,41-20,542.1,306,284,4.71
51,Missouri St.,56,33-23,501.2,320,263,4.72
52,Murray St.,59,31-28,509.1,323,268,4.74
53,CSUN,51,34-17,448.1,276,236,4.74
54,Hawaii,49,29-20,429,270,231,4.85
55,Louisiana,65,41-24,569.2,328,308,4.87
56,San Diego St.,53,24-29,456.1,285,247,4.87
57,UConn,61,44-17,543,332,295,4.89
58,Wright St.,62,39-23,539,352,293,4.89
59,Eastern Ill.,59,38-21,518,325,283,4.92
60,Evansville,61,37-24,541.2,324,296,4.92
61,Charlotte,64,36-28,559.1,343,307,4.94
62,Texas Tech,64,41-23,566.1,381,314,4.99
63,George Mason,63,36-27,555.2,367,309,5
64,Western Ky.,59,33-26,516.2,349,288,5.02
65,Georgetown,57,30-27,491.1,334,274,5.02
66,Old Dominion,55,32-23,491,340,274,5.02
67,Little Rock,54,31-23,468.1,331,263,5.05
68,Miami (FL),63,42-21,551.2,340,311,5.07
69,UTSA,57,38-19,503.2,329,284,5.07
70,Lehigh,50,24-26,412.1,298,234,5.11
71,Cal St. Fullerton,56,32-24,503,313,286,5.12
72,Southeastern La.,50,25-25,434.2,290,248,5.13
73,Saint Mary's (CA),51,23-28,451.1,300,260,5.18
74,St. John's (NY),53,28-25,463.1,314,267,5.19
75,Kansas St.,59,35-24,507,341,293,5.2
76,Gardner-Webb,56,31-25,492,326,285,5.21
77,Lipscomb,62,36-26,539.1,349,313,5.22
78,Arkansas,61,43-18,530.2,333,308,5.22
79,Portland,54,31-23,473.1,318,275,5.23
80,Fla. Atlantic,59,34-25,523,369,304,5.23
81,Wofford,59,40-19,521,331,303,5.23
82,Central Conn. St.,50,36-14,442,290,259,5.27
83,Indiana,63,43-20,556.1,374,326,5.27
84,USC Upstate,60,38-22,535.1,364,314,5.28
85,Oregon,63,41-22,559,363,328,5.28
86,Yale,40,17-23,350.1,242,206,5.29
87,LMU (CA),53,29-24,468,318,276,5.31
88,New Orleans,60,36-24,503,327,298,5.33
89,Sam Houston,64,39-25,554,381,329,5.34
90,Memphis,57,29-28,496.2,347,295,5.35
91,Milwaukee,57,25-32,482,325,287,5.36
92,Washington,55,35-20,493.2,322,294,5.36
93,Grand Canyon,58,37-21,518,346,309,5.37
94,Kennesaw St.,54,25-29,466,356,278,5.37
95,Belmont,60,27-33,524.2,358,313,5.37
96,Oklahoma St.,61,41-20,527.2,352,317,5.41
97,Jacksonville,58,34-24,512.1,360,308,5.41
98,Michigan St.,55,33-22,477.1,319,287,5.41
99,Northwestern St.,56,29-27,486.1,333,293,5.42
100,Central Ark.,54,23-31,465.1,336,282,5.45
101,Boston College,57,37-20,506,324,307,5.46
102,UTRGV,56,30-26,486,341,295,5.46
103,Fresno St.,57,30-27,504.1,345,307,5.48
104,Southeast Mo. St.,56,26-30,478.1,328,292,5.49
105,California Baptist,58,28-30,508.1,370,311,5.51
106,Troy,62,40-22,541,405,331,5.51
107,Saint Louis,56,33-23,501.2,375,308,5.53
108,Creighton,49,25-24,425,289,261,5.53
109,Washington St.,52,29-23,454.1,312,280,5.55
110,Southern Ill.,57,30-27,500.2,338,309,5.55
111,Texas St.,59,36-23,520.2,368,322,5.57
112,UIW,54,28-26,473,347,294,5.59
113,Sacred Heart,58,28-30,514.2,382,320,5.6
114,Stetson,58,35-23,494,347,308,5.61
115,Texas A&M,65,38-27,566.1,388,354,5.63
116,Ohio St.,56,31-25,481,339,301,5.63
117,Winthrop,56,28-28,496,366,312,5.66
118,North Dakota St.,53,23-30,451,326,284,5.67
119,UAB,53,17-36,463.2,314,292,5.67
120,California,52,24-28,450.1,347,285,5.7
121,NJIT,53,22-31,443.2,330,281,5.7
122,Virginia Tech,53,30-23,464.2,336,295,5.71
123,Navy,50,23-27,415.1,307,264,5.72
124,Stanford,64,44-20,577,411,367,5.72
125,Liberty,58,27-31,495,373,315,5.73
126,Wagner,56,32-24,489.1,361,312,5.74
127,Florida St.,54,23-31,477.2,359,305,5.75
128,Purdue,53,24-29,457,351,292,5.75
129,Harvard,44,20-24,380,301,243,5.76
130,Auburn,58,34-23-1,509,358,326,5.76
131,Fairfield,55,37-18,478.2,356,308,5.79
132,Texas Southern,53,31-22,432,354,278,5.79
133,UCF,59,33-26,518.2,403,334,5.8
134,Bethune-Cookman,60,33-27,520,399,336,5.82
135,UNCW,57,34-23,500.2,378,324,5.82
136,Brown,38,26-Dec,332.1,261,216,5.85
137,Charleston So.,50,22-28,427.1,342,278,5.85
138,Binghamton,52,29-23,442.2,316,288,5.86
139,Longwood,54,23-31,464,366,302,5.86
140,Morehead St.,56,36-20,477.2,355,311,5.86
141,Illinois,52,25-27,462,334,301,5.86
142,San Diego,50,24-25-1,434.2,316,285,5.9
143,Michigan,56,28-28,486.2,357,320,5.92
144,UMES,55,18-37,486.1,397,320,5.92
145,Rice,58,21-37,506,373,334,5.94
146,ETSU,55,26-29,462,358,305,5.94
147,San Jose St.,58,31-27,507,376,335,5.95
148,New Mexico,51,26-25,435.2,324,288,5.95
149,Arizona St.,55,32-23,484,370,320,5.95
150,Minnesota,52,18-34,464.1,361,307,5.95
151,Oklahoma,60,32-28,526.1,394,348,5.95
152,Samford,62,37-25,532.1,383,352,5.95
153,Cal Poly,56,21-35,495.2,359,328,5.96
154,Maryland,63,42-21,555,431,368,5.97
155,Quinnipiac,56,30-26,485.1,374,322,5.97
156,Missouri,54,30-24,449,323,298,5.97
157,Arizona,59,33-26,524.1,392,348,5.97
158,UC Davis,54,17-37,471.1,360,314,6
159,FDU,53,31-21-1,468,363,312,6
160,Canisius,52,26-25-1,437.2,345,292,6
161,Georgia St.,59,31-28,515.1,395,344,6.01
162,CSU Bakersfield,52,18-34,446,370,299,6.03
163,The Citadel,54,23-31,466.1,358,313,6.04
164,Louisiana Tech,59,28-31,527.1,390,355,6.06
165,Bowling Green,50,20-30,422.2,325,286,6.09
166,Maine,53,32-21,454.1,342,308,6.1
167,Bryant,50,26-24,429,331,291,6.1
168,FGCU,60,42-18,509.2,407,346,6.11
169,Penn St.,50,25-25,432.2,344,294,6.12
170,Utah Valley,58,34-24,488.2,378,334,6.15
171,Ball St.,59,36-23,504.1,388,345,6.16
172,Jacksonville St.,57,27-30,483.2,376,331,6.16
173,A&M-Corpus Christi,54,24-30,461.2,375,316,6.16
174,San Francisco,47,18-29,413.2,333,285,6.2
175,Kansas,57,25-32,491.2,382,339,6.21
176,Coastal Carolina,63,42-21,561.2,437,390,6.25
177,Houston,59,36-23,524.1,395,365,6.27
178,Eastern Ky.,59,29-30,513,410,358,6.28
179,Middle Tenn.,56,27-29,489,395,342,6.29
180,Nevada,53,20-33,459,379,322,6.31
181,North Florida,55,28-27,479.2,390,337,6.32
182,Pepperdine,49,19-30,428,349,301,6.33
183,James Madison,56,31-25,488.1,385,344,6.34
184,UT Martin,56,22-34,471,399,332,6.34
185,Eastern Mich.,53,27-26,463.1,379,327,6.35
186,Baylor,55,20-35,486.2,424,344,6.36
187,SIUE,54,26-28,464.1,361,329,6.38
188,South Dakota St.,52,24-28,429.1,350,305,6.39
189,Ole Miss,54,25-29,459.2,362,327,6.4
190,Dayton,60,26-34,517,425,369,6.42
191,Hofstra,52,26-26,444,347,317,6.43
192,Toledo,55,26-29,484,384,346,6.43
193,Georgia,56,29-27,483.1,370,346,6.44
194,UMBC,57,30-27,479.1,420,344,6.46
195,South Alabama,54,23-31,468,388,336,6.46
196,Omaha,49,21-28,410,329,295,6.48
197,Cornell,35,26-Sep,295.2,262,213,6.48
198,Richmond,55,27-28,469.1,388,339,6.5
199,Bradley,48,16-32,408.1,342,295,6.5
200,Seattle U,53,21-32,451,374,326,6.51
201,UNLV,51,21-30,444,381,321,6.51
202,N.C. A&T,47,19-28,411.1,343,298,6.52
203,Coppin St.,52,21-31,446,382,326,6.58
204,Saint Joseph's,53,28-24-1,457,382,335,6.6
205,Columbia,45,23-22,387.1,327,284,6.6
206,Rhode Island,52,23-29,450,390,331,6.62
207,Sacramento St.,56,30-26,485.2,406,359,6.65
208,UNC Asheville,52,26-26,451.2,380,334,6.66
209,Marshall,53,16-37,466.1,391,345,6.66
210,Delaware,59,30-29,508.1,428,377,6.67
211,Stony Brook,52,23-29,456.2,385,340,6.7
212,Abilene Christian,59,35-24,509,405,379,6.7
213,Miami (OH),56,21-35,490.2,424,366,6.71
214,Cincinnati,57,24-33,478,407,358,6.74
215,Manhattan,56,22-34,471,431,354,6.76
216,UIC,53,28-25,448,353,337,6.77
217,UNC Greensboro,59,25-34,511.2,470,385,6.77
218,Northern Ky.,57,30-27,498.1,420,375,6.77
219,Princeton,47,24-23,397.1,360,300,6.8
220,Presbyterian,55,21-34,474,401,358,6.8
221,South Fla.,60,21-39,522.2,448,396,6.82
222,Jackson St.,53,28-25,437.2,381,335,6.89
223,Niagara,47,24-22-1,407.1,370,312,6.89
224,Bucknell,47,23-23-1,380.2,350,292,6.9
225,Towson,56,19-37,495.1,441,380,6.9
226,Ga. Southern,56,27-29,479.2,419,368,6.9
227,Austin Peay,58,26-32,494.2,460,382,6.95
228,High Point,54,20-34,470.1,439,364,6.97
229,Florida A&M,59,29-30,505,435,391,6.97
230,UT Arlington,58,29-29,497.2,453,387,7
231,Georgia Tech,57,30-27,498,431,388,7.01
232,Mississippi St.,53,27-26,453,410,353,7.01
233,George Washington,55,21-34,483.2,446,378,7.03
234,Tennessee Tech,55,21-34,468.2,424,367,7.05
235,Gonzaga,52,18-34,455.2,399,357,7.05
236,Prairie View,57,20-37,459.1,420,361,7.07
237,Tulane,61,19-42,519.2,470,409,7.08
238,Akron,55,21-34,468.2,448,370,7.11
239,Illinois St.,50,20-30,435.1,373,344,7.11
240,Utah,55,22-32-1,479.1,428,379,7.12
241,FIU,55,21-34,485.1,423,384,7.12
242,UMass Lowell,55,20-35,459.2,426,364,7.13
243,Oakland,60,29-31,523.2,466,416,7.15
244,Pittsburgh,55,24-31,475.1,422,379,7.18
245,Davidson,54,30-24,467.2,440,373,7.18
246,Holy Cross,51,16-35,406,389,324,7.18
247,Western Caro.,54,21-33,469.2,439,376,7.21
248,VMI,55,26-29,469,437,382,7.33
249,Valparaiso,47,20-27,396.1,351,323,7.33
250,ULM,54,17-37,465,440,379,7.34
251,Mercer,58,33-25,498.1,437,407,7.35
252,Arkansas St.,51,20-31,437,404,357,7.35
253,Air Force,59,28-31,509.1,472,420,7.42
254,BYU,52,24-28,449.2,429,373,7.47
255,Ark.-Pine Bluff,51,18-33,408,412,339,7.48
256,Southern U.,51,23-28,431,402,362,7.56
257,VCU,55,25-30,478,439,402,7.57
258,Ohio,49,19-30,413.1,384,349,7.6
259,Villanova,51,14-37,433,409,367,7.63
260,App State,55,30-25,479,447,407,7.65
261,Massachusetts,49,14-35,412.2,421,351,7.66
262,New Mexico St.,51,14-37,433,431,373,7.75
263,Pacific,49,14-35,420.1,438,363,7.77
264,UC Riverside,52,Nov-41,447,446,387,7.79
265,Grambling,55,29-26,462,449,401,7.81
266,Western Mich.,52,21-31,437,405,380,7.83
267,Western Ill.,52,Dec-40,430.1,430,376,7.86
268,Fordham,55,19-36,478,462,424,7.98
269,Butler,55,Dec-43,471.2,489,419,8
270,Siena,55,14-41,460,462,410,8.02
271,SFA,50,22-28,442.1,457,404,8.22
272,LIU,55,19-36,472,493,432,8.24
273,Mount St. Mary's,52,25-27,446.2,485,414,8.34
274,UAlbany,44,9-34-1,366.2,379,341,8.37
275,Youngstown St.,55,19-36,465.1,509,434,8.39
276,Lafayette,52,15-37,417,463,391,8.44
277,Alabama A&M,48,14-34,379.2,447,357,8.46
278,Hartford,37,Apr-33,297.1,332,281,8.51
279,Northwestern,50,Oct-40,430.1,454,408,8.53
280,Purdue Fort Wayne,56,13-43,474.2,528,451,8.55
281,Houston Christian,48,Nov-37,409.1,471,389,8.55
282,Norfolk St.,51,Sep-42,423,498,403,8.57
283,North Ala.,51,14-37,418.1,449,405,8.71
284,Monmouth,46,16-30,402,453,394,8.82
285,NIU,53,Oct-43,444.1,495,442,8.95
286,Radford,55,Oct-45,468,563,469,9.02
287,Delaware St.,48,13-35,409,473,411,9.04
288,Dartmouth,41,Mar-38,345,399,353,9.21
289,Alcorn,48,Aug-40,387.1,521,400,9.29
290,Marist,52,16-36,430.2,508,449,9.38
291,Mississippi Val.,52,15-37,408.2,527,441,9.71
292,Northern Colo.,45,Nov-34,357,447,389,9.81
293,Iona,51,13-38,416,513,457,9.89
294,St. Bonaventure,48,Aug-40,391,488,433,9.97
295,Saint Peter's,50,Sep-41,407.2,575,505,11.15
NR,UC San Diego,52,34-18,464,261,229,4.44
NR,Tarleton St.,52,26-26,445.2,312,282,5.69
NR,Merrimack,51,21-30,442.1,378,333,6.78
NR,Lindenwood,55,13-42,452.2,447,369,7.34
NR,St. Thomas (MN),44,Oct-34,364.1,354,303,7.48
NR,Southern Ind.,55,17-38,459.1,463,393,7.7
NR,Stonehill,49,14-35,410.1,443,365,8.01
NR,Utah Tech,52,13-39,433,462,388,8.06
NR,Queens (NC),55,17-38,467.1,520,447,8.61
NR,Bellarmine,55,13-42,454.1,511,450,8.91
