Rank,Name,G,W-L,SH
1,Western Ky.,58,36-22,78
2,Jackson St.,56,36-20,68
3,Prairie View,55,29-26,60
4,Wofford,62,42-20,55
5,James Madison,61,36-25,55
6,CSUN,54,30-24,55
7,CSU Bakersfield,53,15-38,55
8,Southeast Mo. St.,63,36-27,52
9,Northern Ky.,59,35-24,50
10,San Diego,56,41-15,49
11,Cal Poly,57,35-22,48
12,South Alabama,56,31-25,48
13,Longwood,52,23-29,47
14,Mercer,58,29-29,47
15,Mount St. Mary's,57,22-34-1,46
16,East Carolina,63,46-17,46
17,Cal St. Fullerton,54,16-38,46
18,Alabama St.,56,29-27,46
19,Kentucky,62,46-16,45
20,Yale,41,18-23,45
21,Rutgers,53,28-25,44
22,Nebraska,62,40-22,44
23,UC Davis,56,29-27,43
24,A&M-Corpus Christi,57,22-35,43
25,UCF,58,37-21,42
26,Boston College,53,22-31,42
27,Sacred Heart,58,35-23,41
28,Western Mich.,55,32-23,41
29,VMI,56,27-29,41
30,ULM,55,25-30,40
31,George Washington,57,31-26,40
32,George Mason,53,21-32,40
33,UC Irvine,59,45-14,40
34,South Carolina,62,37-25,37
35,UMES,48,0-48,37
36,Arkansas St.,54,21-32-1,37
37,Presbyterian,56,29-27,36
38,UNC Greensboro,54,33-21,35
39,Eastern Ill.,53,20-33,35
40,Seton Hall,54,24-30,35
41,Omaha,51,18-32-1,35
42,Southern California,59,31-28,34
43,Towson,54,15-39,34
44,Hawaii,53,37-16,34
45,Western Caro.,54,28-26,34
46,Georgetown,57,36-21,34
47,Army West Point,54,31-23,34
48,Purdue,57,33-24,33
49,Utah,55,33-22,33
50,Ga. Southern,59,33-26,33
51,Bryant,57,36-21,33
52,Coastal Carolina,61,36-25,33
53,Virginia,63,46-17,33
54,The Citadel,53,21-32,32
55,West Virginia,60,36-24,32
56,Grand Canyon,61,36-25,31
57,Kennesaw St.,56,32-24,31
58,UNCW,61,40-21,31
59,St. John's (NY),57,38-18-1,31
60,Texas,60,36-24,31
61,Lafayette,49,14-35,31
62,Abilene Christian,58,33-25,31
63,Fresno St.,62,33-29,31
64,Long Beach St.,55,25-29-1,31
65,Tulane,62,36-26,31
66,Rice,59,23-36,30
67,Air Force,55,27-28,30
68,Wichita St.,61,32-29,30
69,California Baptist,62,38-24,30
70,Massachusetts,53,24-29,30
71,Binghamton,50,21-29,30
72,Jacksonville,58,27-31,30
73,Miami (OH),54,27-27,30
74,SIUE,56,21-34-1,29
75,Southern U.,51,22-29,29
76,UIC,55,35-20,29
77,Michigan,60,32-28,29
78,UAB,55,26-29,29
79,Creighton,52,35-17,29
80,High Point,62,35-27,29
81,N.C. A&T,53,25-28,28
82,Oregon,60,40-20,28
83,Quinnipiac,50,20-30,28
84,Louisiana,62,42-20,28
85,LIU,58,33-25,28
86,Middle Tenn.,56,20-36,28
87,Mississippi St.,63,40-23,28
88,Bethune-Cookman,59,32-27,28
89,UC Riverside,52,16-36,28
90,Winthrop,49,19-29-1,28
91,Central Ark.,56,26-30,27
92,Gardner-Webb,53,22-31,27
93,Seattle U,53,17-36,27
94,McNeese,59,32-27,27
95,South Fla.,55,26-29,27
96,FIU,57,27-30,27
97,North Dakota St.,51,20-30-1,27
98,Monmouth,48,18-30,26
99,Northwestern,52,18-34,26
100,Richmond,59,27-32,26
101,Louisville,56,32-24,26
102,FDU,56,26-30,26
103,Hofstra,57,24-33,26
104,Kansas St.,61,35-26,26
105,Stanford,55,22-33,26
106,TCU,54,33-21,25
107,VCU,61,38-23,25
108,Illinois St.,57,30-27,25
109,UConn,61,35-26,25
110,Ball St.,59,35-23-1,25
111,Northwestern St.,55,22-33,24
112,Santa Clara,52,26-26,24
113,Texas Southern,48,23-25,24
114,Manhattan,52,22-30,24
115,UCLA,52,19-33,24
116,Florida A&M,56,29-27,24
117,Purdue Fort Wayne,56,19-37,24
118,Maine,49,Dec-37,24
119,Milwaukee,55,19-36,24
120,Missouri,55,23-32,23
121,NJIT,54,26-28,23
122,Oral Roberts,60,27-32-1,23
123,Oregon St.,61,45-16,23
124,Iowa,54,31-23,23
125,Bradley,51,13-37-1,23
126,Butler,55,20-35,23
127,Georgia Tech,58,33-25,23
128,UT Martin,56,21-35,23
129,NC State,61,38-23,22
130,Notre Dame,52,27-25,22
131,Ohio,50,18-32,22
132,Oklahoma St.,61,42-19,22
133,Saint Peter's,52,Dec-40,22
134,Louisiana Tech,64,45-19,22
135,Akron,54,15-39,22
136,Arizona,59,36-23,22
137,Campbell,53,31-22,22
138,Fla. Atlantic,57,28-29,22
139,Jacksonville St.,52,18-34,22
140,Vanderbilt,61,38-23,22
141,Ark.-Pine Bluff,49,15-34,21
142,Nicholls,60,38-22,21
143,Rhode Island,47,19-28,21
144,Southern Miss.,63,43-20,21
145,Tennessee Tech,55,29-26,21
146,Wagner,56,26-30,21
147,Liberty,58,24-34,21
148,Alcorn,49,Jun-43,21
149,Austin Peay,56,35-21,21
150,Baylor,53,22-31,21
151,UC Santa Barbara,58,44-14,21
152,Clemson,60,44-16,21
153,Eastern Mich.,52,14-38,21
154,Michigan St.,51,24-27,21
155,New Mexico,54,28-26,20
156,Radford,50,16-34,20
157,Villanova,51,18-33,20
158,Sacramento St.,57,26-31,20
159,Central Conn. St.,42,18-24,20
160,Florida St.,66,49-17,20
161,Florida,66,36-30,20
162,Fordham,52,19-33,20
163,Lamar University,59,44-15,20
164,Nevada,51,25-26,19
165,New Orleans,57,31-26,19
166,Old Dominion,57,31-26,19
167,Rider,51,28-23,19
168,Illinois,56,35-21,19
169,Texas St.,56,27-29,19
170,Wright St.,56,32-24,19
171,Auburn,53,27-26,19
172,Central Mich.,55,17-38,19
173,San Diego St.,54,17-37,19
174,DBU,60,45-15,18
175,Maryland,56,34-22,18
176,Niagara,55,38-17,18
177,NIU,54,21-33,18
178,Oklahoma,61,40-21,18
179,UTRGV,54,29-25,18
180,St. Bonaventure,49,18-31,18
181,Sam Houston,58,34-24,18
182,Xavier,57,30-27,18
183,Youngstown St.,60,16-44,18
184,Miami (FL),57,27-30,18
185,Minnesota,48,25-23,18
186,ETSU,56,36-20,18
187,Marist,55,20-35,18
188,Morehead St.,61,37-24,18
189,Col. of Charleston,55,41-14,17
190,North Carolina,64,48-16,17
191,New Mexico St.,54,25-29,17
192,Oakland,58,31-27,17
193,Southern Ill.,60,33-27,17
194,UTSA,56,32-24,17
195,Iona,50,Dec-38,17
196,Virginia Tech,54,32-22,17
197,William & Mary,58,32-26,17
198,Alabama A&M,51,13-38,17
199,Charleston So.,54,22-32,17
200,Grambling,54,26-28,17
201,Toledo,59,27-32,17
202,Pepperdine,53,15-38,16
203,Missouri St.,57,23-34,16
204,SFA,54,Oct-44,16
205,Stony Brook,52,24-28,16
206,Navy,51,28-23,16
207,Kansas,54,31-23,16
208,BYU,52,21-31,16
209,Cornell,38,17-21,16
210,Dayton,55,33-22,16
211,Fairfield,58,34-24,16
212,Gonzaga,53,21-32,16
213,UNC Asheville,50,22-28,15
214,Pittsburgh,55,26-29,15
215,Saint Joseph's,55,29-26,15
216,Wake Forest,60,38-22,15
217,Dartmouth,39,13-26,15
218,Arkansas,60,44-16,15
219,Brown,39,28-Nov,15
220,Bucknell,46,22-24,15
221,California,55,36-19,15
222,Western Ill.,50,13-37,15
223,UIW,57,26-31,14
224,Northeastern,55,38-17,14
225,Saint Mary's (CA),56,34-22,14
226,UT Arlington,56,22-34,14
227,Lipscomb,56,22-34,14
228,Marshall,55,18-37,14
229,Canisius,48,18-30,14
230,Davidson,52,24-28,14
231,Houston,54,26-28,14
232,Indiana St.,59,44-15,14
233,Lehigh,48,24-23-1,14
234,Alabama,57,33-24,14
235,Northern Colo.,55,16-38-1,13
236,San Francisco,55,21-34,13
237,South Dakota St.,49,20-29,13
238,LSU,66,43-23,13
239,Washington St.,53,21-32,13
240,Belmont,58,26-32,12
241,North Ala.,54,18-35-1,12
242,Portland,56,37-19,12
243,Saint Louis,53,37-16,12
244,Memphis,55,23-32,12
245,FGCU,56,30-26,12
246,Cincinnati,57,32-25,12
247,Duke,60,40-20,12
248,Georgia St.,57,25-32,12
249,Washington,51,19-31-1,12
250,Charlotte,58,24-34,11
251,Pacific,55,Nov-44,11
252,Princeton,44,18-26,11
253,Stetson,63,41-22,11
254,Merrimack,59,33-26,11
255,Holy Cross,53,26-27,11
256,App State,55,33-21-1,11
257,Bowling Green,53,33-20,11
258,Columbia,44,26-18,11
259,Harvard,39,13-26,11
260,UAlbany,50,15-34-1,11
261,Elon,53,21-32,10
262,San Jose St.,57,24-33,10
263,Coppin St.,45,Dec-33,10
264,Valparaiso,52,14-38,10
265,Southeastern La.,58,30-28,10
266,UNLV,52,26-26,9
267,Ohio St.,55,29-26,9
268,LMU (CA),54,24-30,9
269,Georgia,60,43-17,9
270,Indiana,60,33-26-1,9
271,Siena,52,Dec-40,9
272,USC Upstate,60,36-24,8
273,North Florida,52,21-30-1,8
274,UMass Lowell,55,24-31,8
275,Penn,49,24-25,8
276,Arizona St.,58,32-26,8
277,Ole Miss,56,27-29,8
278,Eastern Ky.,58,21-37,7
279,UMBC,52,27-25,7
280,Houston Christian,49,18-31,7
281,Evansville,65,39-26,7
282,Murray St.,57,37-20,6
283,Penn St.,53,29-24,6
284,Tennessee,73,60-13,6
285,Kent St.,54,27-27,6
286,Utah Valley,58,29-29,6
287,Delaware St.,49,22-27,6
288,Troy,59,37-22,6
289,Texas A&M,68,53-15,5
290,Little Rock,56,32-24,5
291,Texas Tech,59,33-26,5
292,Mississippi Val.,46,Dec-34,4
293,Norfolk St.,53,Dec-41,4
294,Samford,58,36-22,3
295,Delaware,57,31-26,2
296,Southern Ind.,59,27-32,41
297,Tarleton St.,61,32-29,35
298,Utah Tech,56,14-42,31
299,UC San Diego,53,30-23,30
300,Stonehill,47,18-29,29
301,St. Thomas (MN),46,22-24,24
302,Lindenwood,54,16-38,16
303,Queens (NC),55,14-41,14
304,Bellarmine,55,Oct-45,13
305,Le Moyne,50,22-27-1,13
