Rank,Name,G,W-L,IP,SO,K/9
1,Arkansas,60,44-16,523.2,706,12.1
2,Wake Forest,60,38-22,523.1,690,11.9
3,TCU,54,33-21,475.1,606,11.5
4,LSU,66,43-23,575.2,733,11.5
5,Iowa,54,31-23,470.2,578,11.1
6,Oklahoma St.,61,42-19,544.1,663,11
7,Texas A&M,68,53-15,592,715,10.9
8,Florida,66,36-30,580,689,10.7
9,Florida St.,66,49-17,584.1,694,10.7
10,Georgia,60,43-17,515.1,606,10.6
11,Duke,60,40-20,524.1,612,10.5
12,Charlotte,58,24-34,492.2,572,10.4
13,Mississippi St.,63,40-23,553,639,10.4
14,Indiana St.,59,44-15,514,592,10.4
15,Houston,54,26-28,472,540,10.3
16,Vanderbilt,61,38-23,522.2,595,10.2
17,East Carolina,63,46-17,554,630,10.2
18,Arizona St.,58,32-26,503,572,10.2
19,Ole Miss,56,27-29,480.1,542,10.2
20,William & Mary,58,32-26,506,570,10.1
21,Indiana,60,33-26-1,523,589,10.1
22,Tennessee,73,60-13,622,700,10.1
23,Penn,49,24-25,426.1,476,10
24,San Diego,56,41-15,511.1,569,10
25,DBU,60,45-15,525.2,584,10
26,Omaha,51,18-32-1,435.2,483,10
27,Louisiana,62,42-20,540,597,10
28,South Carolina,62,37-25,532.2,588,9.9
29,Saint Joseph's,55,29-26,474.1,521,9.9
30,Ball St.,59,35-23-1,504.2,553,9.9
31,Southern Miss.,63,43-20,550.2,602,9.8
32,Louisiana Tech,64,45-19,567,619,9.8
33,Kansas St.,61,35-26,546.2,590,9.7
34,Stanford,55,22-33,481,517,9.7
35,Little Rock,56,32-24,496.1,531,9.6
36,Presbyterian,56,29-27,486,519,9.6
37,Winthrop,49,19-29-1,413.1,440,9.6
38,Clemson,60,44-16,536.2,571,9.6
39,Portland,56,37-19,495.2,527,9.6
40,Grand Canyon,61,36-25,527.2,561,9.6
41,San Diego St.,54,17-37,466.1,494,9.5
42,Auburn,53,27-26,451.1,478,9.5
43,Longwood,52,23-29,431.2,457,9.5
44,Gonzaga,53,21-32,452.2,479,9.5
45,Oklahoma,61,40-21,533.2,564,9.5
46,Minnesota,48,25-23,421,444,9.5
47,Abilene Christian,58,33-25,493.1,520,9.5
48,Old Dominion,57,31-26,495.1,522,9.5
49,Kansas,54,31-23,470.1,495,9.5
50,Virginia Tech,54,32-22,470,494,9.5
51,Oregon St.,61,45-16,530.2,557,9.4
52,Austin Peay,56,35-21,470.1,492,9.4
53,UC Irvine,59,45-14,537.2,561,9.4
54,UC Santa Barbara,58,44-14,516,538,9.4
55,Fresno St.,62,33-29,536.2,558,9.4
56,California,55,36-19,487,506,9.4
57,Mount St. Mary's,57,22-34-1,490,507,9.3
58,FDU,56,26-30,481.1,498,9.3
59,Oregon,60,40-20,535.1,550,9.2
60,LMU (CA),54,24-30,475,488,9.2
61,Louisville,56,32-24,483,496,9.2
62,Georgia Tech,58,33-25,497.1,510,9.2
63,South Dakota St.,49,20-29,415.2,425,9.2
64,Kentucky,62,46-16,543.1,555,9.2
65,Miami (FL),57,27-30,501.2,512,9.2
66,West Virginia,60,36-24,527.1,538,9.2
67,UConn,61,35-26,530.1,541,9.2
68,Pittsburgh,55,26-29,465.1,474,9.2
69,NC State,61,38-23,527,533,9.1
70,Alabama,57,33-24,489,493,9.1
71,UTRGV,54,29-25,471.2,475,9.1
72,North Florida,52,21-30-1,449.2,452,9
73,UNCW,61,40-21,543.1,546,9
74,Toledo,59,27-32,511.2,514,9
75,Kent St.,54,27-27,465.2,466,9
76,Harvard,39,13-26,332,332,9
77,UCF,58,37-21,509.2,509,9
78,Nicholls,60,38-22,521.1,519,9
79,Campbell,53,31-22,464.2,462,8.9
80,Western Ky.,58,36-22,495.1,490,8.9
81,Hawaii,53,37-16,476.1,471,8.9
82,FIU,57,27-30,494.2,489,8.9
83,USC Upstate,60,36-24,516,510,8.9
84,Seton Hall,54,24-30,470.2,465,8.9
85,Fla. Atlantic,57,28-29,485.1,479,8.9
86,Long Beach St.,55,25-29-1,495.2,489,8.9
87,Texas Tech,59,33-26,510.1,503,8.9
88,ULM,55,25-30,478,471,8.9
89,Nevada,51,25-26,445,438,8.9
90,North Carolina,64,48-16,558.2,549,8.8
91,Arizona,59,36-23,524.2,515,8.8
92,Troy,59,37-22,499.2,490,8.8
93,Radford,50,16-34,429.1,421,8.8
94,Central Ark.,56,26-30,489,478,8.8
95,Fairfield,58,34-24,496,484,8.8
96,Georgia St.,57,25-32,487.1,474,8.8
97,Baylor,53,22-31,463.1,450,8.7
98,Gardner-Webb,53,22-31,454.1,441,8.7
99,BYU,52,21-31,461,447,8.7
100,Missouri,55,23-32,476,459,8.7
101,South Fla.,55,26-29,468,451,8.7
102,Nebraska,62,40-22,547.1,527,8.7
103,Southern Ill.,60,33-27,527,507,8.7
104,Dayton,55,33-22,481.1,463,8.7
105,Creighton,52,35-17,452.1,434,8.6
106,ETSU,56,36-20,476.2,456,8.6
107,Cal St. Fullerton,54,16-38,472.2,452,8.6
108,Coastal Carolina,61,36-25,534.1,510,8.6
109,Manhattan,52,22-30,440.2,420,8.6
110,Richmond,59,27-32,508,484,8.6
111,Yale,41,18-23,354.2,337,8.6
112,Niagara,55,38-17,473.2,450,8.6
113,Southern California,59,31-28,523.1,497,8.5
114,South Alabama,56,31-25,484.2,460,8.5
115,UTSA,56,32-24,492.2,466,8.5
116,Rutgers,53,28-25,462.1,437,8.5
117,Bucknell,46,22-24,362,342,8.5
118,Santa Clara,52,26-26,466,440,8.5
119,Rice,59,23-36,521,491,8.5
120,Brown,39,28-Nov,328,309,8.5
121,Murray St.,57,37-20,500.1,470,8.5
122,Northern Ky.,59,35-24,498,467,8.4
123,N.C. A&T,53,25-28,459.2,431,8.4
124,Tulane,62,36-26,545,511,8.4
125,Columbia,44,26-18,384,360,8.4
126,Alabama St.,56,29-27,470.1,440,8.4
127,Sam Houston,58,34-24,504,471,8.4
128,Cincinnati,57,32-25,498,465,8.4
129,Hofstra,57,24-33,488.2,456,8.4
130,North Ala.,54,18-35-1,456.2,426,8.4
131,Saint Mary's (CA),56,34-22,489,456,8.4
132,Michigan St.,51,24-27,450.2,420,8.4
133,FGCU,56,30-26,479.2,447,8.4
134,Wichita St.,61,32-29,527.2,491,8.4
135,App State,55,33-21-1,479.2,446,8.4
136,Wofford,62,42-20,534.2,497,8.4
137,Southern U.,51,22-29,420.2,391,8.4
138,VCU,61,38-23,539,500,8.3
139,Xavier,57,30-27,493.2,457,8.3
140,Texas,60,36-24,537,497,8.3
141,Virginia,63,46-17,554.2,513,8.3
142,Western Mich.,55,32-23,480.1,444,8.3
143,Central Mich.,55,17-38,462.1,427,8.3
144,Eastern Ky.,58,21-37,481.2,444,8.3
145,Binghamton,50,21-29,428.2,394,8.3
146,Illinois,56,35-21,490.1,450,8.3
147,Sacramento St.,57,26-31,500.2,459,8.3
148,Milwaukee,55,19-36,463.2,425,8.2
149,Oral Roberts,60,27-32-1,527,482,8.2
150,Texas St.,56,27-29,483.1,442,8.2
151,Cal Poly,57,35-22,516,471,8.2
152,Stetson,63,41-22,539.1,492,8.2
153,Delaware St.,49,22-27,423.1,386,8.2
154,Lehigh,48,24-23-1,390.1,355,8.2
155,George Mason,53,21-32,460.1,418,8.2
156,Jackson St.,56,36-20,469.2,426,8.2
157,Dartmouth,39,13-26,333,302,8.2
158,McNeese,59,32-27,518.2,469,8.1
159,Liberty,58,24-34,499,451,8.1
160,Davidson,52,24-28,437,394,8.1
161,Utah Valley,58,29-29,503,453,8.1
162,Wright St.,56,32-24,482,434,8.1
163,VMI,56,27-29,473.2,426,8.1
164,New Orleans,57,31-26,484.2,435,8.1
165,Norfolk St.,53,Dec-41,466.2,418,8.1
166,Jacksonville,58,27-31,500.1,448,8.1
167,Samford,58,36-22,487.1,436,8.1
168,Missouri St.,57,23-34,486.2,435,8
169,Tennessee Tech,55,29-26,482,430,8
170,UCLA,52,19-33,463,413,8
171,Boston College,53,22-31,459,409,8
172,Maine,49,Dec-37,399.1,355,8
173,Notre Dame,52,27-25,447.2,397,8
174,Ohio St.,55,29-26,475,421,8
175,Lamar University,59,44-15,517.1,458,8
176,Bowling Green,53,33-20,455.1,403,8
177,Evansville,65,39-26,551.2,487,7.9
178,Canisius,48,18-30,408,360,7.9
179,LIU,58,33-25,499.2,440,7.9
180,Western Caro.,54,28-26,467,411,7.9
181,Iona,50,Dec-38,422.1,371,7.9
182,Rhode Island,47,19-28,405.2,355,7.9
183,The Citadel,53,21-32,460.2,403,7.9
184,Marshall,55,18-37,479,419,7.9
185,UAB,55,26-29,479.1,419,7.9
186,Marist,55,20-35,454.1,397,7.9
187,SIUE,56,21-34-1,473,413,7.9
188,James Madison,61,36-25,530.2,463,7.9
189,Kennesaw St.,56,32-24,473.2,413,7.8
190,George Washington,57,31-26,498.2,434,7.8
191,Memphis,55,23-32,489.1,425,7.8
192,Delaware,57,31-26,495.1,430,7.8
193,St. Bonaventure,49,18-31,413.2,359,7.8
194,Georgetown,57,36-21,501.1,434,7.8
195,Lafayette,49,14-35,389.2,337,7.8
196,Miami (OH),54,27-27,473,409,7.8
197,Northeastern,55,38-17,483,416,7.8
198,California Baptist,62,38-24,540.1,465,7.7
199,UNC Greensboro,54,33-21,474.1,408,7.7
200,San Francisco,55,21-34,481.1,414,7.7
201,Eastern Ill.,53,20-33,461.1,396,7.7
202,High Point,62,35-27,542.1,465,7.7
203,UIW,57,26-31,477.1,409,7.7
204,Elon,53,21-32,459,393,7.7
205,New Mexico St.,54,25-29,453.1,388,7.7
206,UNLV,52,26-26,450,385,7.7
207,Northern Colo.,55,16-38-1,451,385,7.7
208,Southeast Mo. St.,63,36-27,548.2,468,7.7
209,New Mexico,54,28-26,462,394,7.7
210,Ohio,50,18-32,430,365,7.6
211,Fordham,52,19-33,444.1,377,7.6
212,Belmont,58,26-32,500.1,424,7.6
213,Washington St.,53,21-32,466,392,7.6
214,St. John's (NY),57,38-18-1,510.2,429,7.6
215,CSU Bakersfield,53,15-38,474.1,398,7.6
216,Ga. Southern,59,33-26,500.1,419,7.5
217,Charleston So.,54,22-32,465,389,7.5
218,Purdue,57,33-24,499,417,7.5
219,Bryant,57,36-21,490.2,410,7.5
220,Saint Louis,53,37-16,462.1,385,7.5
221,Illinois St.,57,30-27,483,402,7.5
222,Army West Point,54,31-23,438.2,365,7.5
223,Siena,52,Dec-40,424,352,7.5
224,UNC Asheville,50,22-28,434,360,7.5
225,Utah,55,33-22,492,406,7.4
226,Middle Tenn.,56,20-36,473.1,389,7.4
227,Valparaiso,52,14-38,436,358,7.4
228,Wagner,56,26-30,489,401,7.4
229,North Dakota St.,51,20-30-1,437.1,358,7.4
230,Maryland,56,34-22,488.1,398,7.3
231,UIC,55,35-20,475,387,7.3
232,Sacred Heart,58,35-23,510,415,7.3
233,Bethune-Cookman,59,32-27,512.2,417,7.3
234,UMBC,52,27-25,454.2,369,7.3
235,A&M-Corpus Christi,57,22-35,493.2,400,7.3
236,Prairie View,55,29-26,455.2,369,7.3
237,Oakland,58,31-27,498.1,403,7.3
238,Holy Cross,53,26-27,424.1,342,7.3
239,Bradley,51,13-37-1,412.1,332,7.2
240,Southeastern La.,58,30-28,497.1,400,7.2
241,Morehead St.,61,37-24,521,419,7.2
242,Merrimack,59,33-26,510,410,7.2
243,Seattle U,53,17-36,454.2,365,7.2
244,SFA,54,Oct-44,440,352,7.2
245,NJIT,54,26-28,470.2,376,7.2
246,Texas Southern,48,23-25,379.2,303,7.2
247,Towson,54,15-39,463,369,7.2
248,Coppin St.,45,Dec-33,388,309,7.2
249,Houston Christian,49,18-31,401.1,319,7.2
250,Washington,51,19-31-1,459,364,7.1
251,Navy,51,28-23,418.2,331,7.1
252,Eastern Mich.,52,14-38,425.1,336,7.1
253,Villanova,51,18-33,435.1,343,7.1
254,Air Force,55,27-28,468.2,368,7.1
255,Lipscomb,56,22-34,473.1,371,7.1
256,Pepperdine,53,15-38,459,359,7
257,Penn St.,53,29-24,458.1,357,7
258,CSUN,54,30-24,478.2,372,7
259,Mercer,58,29-29,505,392,7
260,UC Riverside,52,16-36,454,352,7
261,Florida A&M,56,29-27,467.2,358,6.9
262,Butler,55,20-35,470.2,360,6.9
263,Cornell,38,17-21,331,253,6.9
264,Grambling,54,26-28,439,335,6.9
265,Purdue Fort Wayne,56,19-37,461.2,352,6.9
266,Northwestern St.,55,22-33,463,352,6.8
267,Youngstown St.,60,16-44,491,372,6.8
268,Saint Peter's,52,Dec-40,422.1,319,6.8
269,UAlbany,50,15-34-1,404.1,304,6.8
270,Rider,51,28-23,438,329,6.8
271,Central Conn. St.,42,18-24,366.2,275,6.8
272,Quinnipiac,50,20-30,421.2,315,6.7
273,Western Ill.,50,13-37,420.1,314,6.7
274,Monmouth,48,18-30,418.1,312,6.7
275,Akron,54,15-39,456.1,340,6.7
276,Ark.-Pine Bluff,49,15-34,400.2,297,6.7
277,Princeton,44,18-26,380.2,282,6.7
278,Col. of Charleston,55,41-14,491.2,364,6.7
279,UT Martin,56,21-35,482.1,355,6.6
280,NIU,54,21-33,455.1,335,6.6
281,San Jose St.,57,24-33,498,366,6.6
282,Jacksonville St.,52,18-34,447,327,6.6
283,Stony Brook,52,24-28,449.2,327,6.5
284,UMass Lowell,55,24-31,469,335,6.4
285,UC Davis,56,29-27,503,359,6.4
286,Massachusetts,53,24-29,442.1,314,6.4
287,Northwestern,52,18-34,446.2,317,6.4
288,UT Arlington,56,22-34,478,333,6.3
289,Arkansas St.,54,21-32-1,464,323,6.3
290,Michigan,60,32-28,535.1,363,6.1
291,UMES,48,0-48,388.2,263,6.1
292,Alcorn,49,Jun-43,373.1,252,6.1
293,Alabama A&M,51,13-38,402.1,267,6
294,Pacific,55,Nov-44,465,300,5.8
295,Mississippi Val.,46,Dec-34,361,192,4.8
296,St. Thomas (MN),46,22-24,398.1,398,9
297,UC San Diego,53,30-23,477.1,442,8.3
298,Southern Ind.,59,27-32,509.2,448,7.9
299,Utah Tech,56,14-42,475.2,383,7.2
300,Stonehill,47,18-29,403.2,322,7.2
301,Le Moyne,50,22-27-1,428.2,340,7.1
302,Queens (NC),55,14-41,462,360,7
303,Tarleton St.,61,32-29,528.1,404,6.9
304,Lindenwood,54,16-38,464.1,342,6.6
305,Bellarmine,55,Oct-45,431,293,6.1
