Rank,Name,G,W-L,3B
1,Northern Ky.,59,35-24,33
2,Wofford,62,42-20,33
3,Arizona,59,36-23,26
4,Jackson St.,56,36-20,25
5,Oakland,58,31-27,24
6,Youngstown St.,60,16-44,24
7,Oklahoma,61,40-21,24
8,Florida A&M,56,29-27,23
9,Radford,50,16-34,23
10,San Jose St.,57,24-33,22
11,St. John's (NY),57,38-18-1,21
12,Louisville,56,32-24,21
13,Holy Cross,53,26-27,21
14,Sam Houston,58,34-24,21
15,UNC Greensboro,54,33-21,20
16,New Orleans,57,31-26,20
17,Ohio St.,55,29-26,20
18,Oregon St.,61,45-16,20
19,McNeese,59,32-27,20
20,Bethune-Cookman,59,32-27,20
21,Georgetown,57,36-21,20
22,Marist,55,20-35,20
23,Air Force,55,27-28,20
24,Seton Hall,54,24-30,18
25,Southern California,59,31-28,18
26,Utah,55,33-22,18
27,Kansas St.,61,35-26,18
28,Creighton,52,35-17,18
29,Eastern Ky.,58,21-37,18
30,UIC,55,35-20,18
31,Virginia Tech,54,32-22,18
32,New Mexico St.,54,25-29,17
33,Prairie View,55,29-26,17
34,Sacred Heart,58,35-23,17
35,Louisiana,62,42-20,17
36,Iona,50,Dec-38,17
37,Utah Valley,58,29-29,17
38,ETSU,56,36-20,17
39,Florida St.,66,49-17,17
40,Grambling,54,26-28,17
41,Tennessee Tech,55,29-26,17
42,New Mexico,54,28-26,16
43,Saint Louis,53,37-16,16
44,Saint Mary's (CA),56,34-22,16
45,Santa Clara,52,26-26,16
46,Iowa,54,31-23,16
47,Texas A&M,68,53-15,16
48,Tulane,62,36-26,16
49,BYU,52,21-31,16
50,UC Irvine,59,45-14,16
51,Southeast Mo. St.,63,36-27,16
52,UIW,57,26-31,15
53,North Carolina,64,48-16,15
54,UNLV,52,26-26,15
55,North Dakota St.,51,20-30-1,15
56,Southern U.,51,22-29,15
57,LMU (CA),54,24-30,15
58,FGCU,56,30-26,15
59,The Citadel,53,21-32,15
60,East Carolina,63,46-17,15
61,Jacksonville,58,27-31,15
62,James Madison,61,36-25,15
63,Virginia,63,46-17,15
64,Ark.-Pine Bluff,49,15-34,14
65,Fairfield,58,34-24,14
66,Omaha,51,18-32-1,14
67,Northern Colo.,55,16-38-1,14
68,Northwestern St.,55,22-33,14
69,Notre Dame,52,27-25,14
70,Quinnipiac,50,20-30,14
71,Rutgers,53,28-25,14
72,TCU,54,33-21,14
73,VMI,56,27-29,14
74,Washington St.,53,21-32,14
75,Milwaukee,55,19-36,14
76,A&M-Corpus Christi,57,22-35,14
77,Butler,55,20-35,14
78,Cal Poly,57,35-22,14
79,Fresno St.,62,33-29,14
80,Dayton,55,33-22,14
81,Charlotte,58,24-34,14
82,Grand Canyon,61,36-25,13
83,Illinois St.,57,30-27,13
84,Purdue,57,33-24,13
85,San Diego St.,54,17-37,13
86,Wright St.,56,32-24,13
87,Miami (OH),54,27-27,13
88,Middle Tenn.,56,20-36,13
89,Alabama St.,56,29-27,13
90,Auburn,53,27-26,13
91,Baylor,53,22-31,13
92,Bowling Green,53,33-20,13
93,Bucknell,46,22-24,13
94,CSUN,54,30-24,13
95,FDU,56,26-30,13
96,Nicholls,60,38-22,13
97,Central Ark.,56,26-30,12
98,LIU,58,33-25,12
99,South Dakota St.,49,20-29,12
100,Western Mich.,55,32-23,12
101,Wichita St.,61,32-29,12
102,Akron,54,15-39,12
103,UAB,55,26-29,12
104,Arizona St.,58,32-26,12
105,Ball St.,59,35-23-1,12
106,UCF,58,37-21,12
107,Central Mich.,55,17-38,12
108,Clemson,60,44-16,12
109,Columbia,44,26-18,12
110,Eastern Mich.,52,14-38,12
111,Houston,54,26-28,12
112,Liberty,58,24-34,12
113,Rice,59,23-36,12
114,Col. of Charleston,55,41-14,11
115,Kent St.,54,27-27,11
116,Murray St.,57,37-20,11
117,Nevada,51,25-26,11
118,N.C. A&T,53,25-28,11
119,ULM,55,25-30,11
120,Northeastern,55,38-17,11
121,UTRGV,54,29-25,11
122,Penn,49,24-25,11
123,Samford,58,36-22,11
124,Siena,52,Dec-40,11
125,SIUE,56,21-34-1,11
126,Texas St.,56,27-29,11
127,Texas Tech,59,33-26,11
128,Navy,51,28-23,11
129,Vanderbilt,61,38-23,11
130,Wagner,56,26-30,11
131,Wake Forest,60,38-22,11
132,Alabama,57,33-24,11
133,Alcorn,49,Jun-43,11
134,App State,55,33-21-1,11
135,Arkansas St.,54,21-32-1,11
136,Austin Peay,56,35-21,11
137,Binghamton,50,21-29,11
138,Sacramento St.,57,26-31,11
139,UCLA,52,19-33,11
140,UC Riverside,52,16-36,11
141,Cincinnati,57,32-25,11
142,Duke,60,40-20,11
143,George Mason,53,21-32,11
144,Jacksonville St.,52,18-34,11
145,Missouri,55,23-32,11
146,USC Upstate,60,36-24,10
147,DBU,60,45-15,10
148,Presbyterian,56,29-27,10
149,UNCW,61,40-21,10
150,Norfolk St.,53,Dec-41,10
151,Northwestern,52,18-34,10
152,Oral Roberts,60,27-32-1,10
153,Oregon,60,40-20,10
154,Princeton,44,18-26,10
155,St. Bonaventure,49,18-31,10
156,Stetson,63,41-22,10
157,Texas,60,36-24,10
158,Towson,54,15-39,10
159,Troy,59,37-22,10
160,Army West Point,54,31-23,10
161,William & Mary,58,32-26,10
162,Alabama A&M,51,13-38,10
163,Brown,39,28-Nov,10
164,Bryant,57,36-21,10
165,Cal St. Fullerton,54,16-38,10
166,Central Conn. St.,42,18-24,10
167,Davidson,52,24-28,10
168,Purdue Fort Wayne,56,19-37,10
169,Kentucky,62,46-16,10
170,Lafayette,49,14-35,10
171,Lamar University,59,44-15,10
172,Longwood,52,23-29,10
173,LSU,66,43-23,10
174,Gardner-Webb,53,22-31,9
175,Marshall,55,18-37,9
176,Pacific,55,Nov-44,9
177,Rider,51,28-23,9
178,Saint Peter's,52,Dec-40,9
179,San Diego,56,41-15,9
180,San Francisco,55,21-34,9
181,South Carolina,62,37-25,9
182,Southern Miss.,63,43-20,9
183,Tennessee,73,60-13,9
184,Texas Southern,48,23-25,9
185,Yale,41,18-23,9
186,Mercer,58,29-29,9
187,Michigan,60,32-28,9
188,Boston College,53,22-31,9
189,Long Beach St.,55,25-29-1,9
190,UC Santa Barbara,58,44-14,9
191,Dartmouth,39,13-26,9
192,Delaware St.,49,22-27,9
193,Gonzaga,53,21-32,9
194,Belmont,58,26-32,8
195,Indiana,60,33-26-1,8
196,North Florida,52,21-30-1,8
197,Nebraska,62,40-22,8
198,NJIT,54,26-28,8
199,Niagara,55,38-17,8
200,NIU,54,21-33,8
201,Ohio,50,18-32,8
202,Old Dominion,57,31-26,8
203,Pepperdine,53,15-38,8
204,Portland,56,37-19,8
205,South Alabama,56,31-25,8
206,South Fla.,55,26-29,8
207,Southern Ill.,60,33-27,8
208,UT Martin,56,21-35,8
209,UTSA,56,32-24,8
210,Western Ky.,58,36-22,8
211,Mississippi Val.,46,Dec-34,8
212,Delaware,57,31-26,8
213,Ga. Southern,59,33-26,8
214,Georgia St.,57,25-32,8
215,Harvard,39,13-26,8
216,Hawaii,53,37-16,8
217,Illinois,56,35-21,8
218,Kennesaw St.,56,32-24,8
219,Seattle U,53,17-36,7
220,Louisiana Tech,64,45-19,7
221,Monmouth,48,18-30,7
222,Morehead St.,61,37-24,7
223,Oklahoma St.,61,42-19,7
224,Penn St.,53,29-24,7
225,Richmond,59,27-32,7
226,Saint Joseph's,55,29-26,7
227,Southeastern La.,58,30-28,7
228,Stanford,55,22-33,7
229,UT Arlington,56,22-34,7
230,VCU,61,38-23,7
231,West Virginia,60,36-24,7
232,Western Caro.,54,28-26,7
233,High Point,62,35-27,7
234,California Baptist,62,38-24,7
235,Merrimack,59,33-26,7
236,Minnesota,48,25-23,7
237,Mississippi St.,63,40-23,7
238,UAlbany,50,15-34-1,7
239,Bradley,51,13-37-1,7
240,California,55,36-19,7
241,Campbell,53,31-22,7
242,Canisius,48,18-30,7
243,UConn,61,35-26,7
244,Cornell,38,17-21,7
245,Evansville,65,39-26,7
246,Fordham,52,19-33,7
247,George Washington,57,31-26,7
248,Georgia Tech,58,33-25,7
249,Hofstra,57,24-33,7
250,Ole Miss,56,27-29,7
251,Memphis,55,23-32,6
252,NC State,61,38-23,6
253,Missouri St.,57,23-34,6
254,Stony Brook,52,24-28,6
255,Villanova,51,18-33,6
256,Winthrop,49,19-29-1,6
257,Xavier,57,30-27,6
258,Little Rock,56,32-24,6
259,CSU Bakersfield,53,15-38,6
260,FIU,57,27-30,6
261,Indiana St.,59,44-15,6
262,Kansas,54,31-23,6
263,UMass Lowell,55,24-31,6
264,Manhattan,52,22-30,6
265,UMBC,52,27-25,6
266,Mount St. Mary's,57,22-34-1,6
267,UNC Asheville,50,22-28,5
268,Rhode Island,47,19-28,5
269,SFA,54,Oct-44,5
270,Washington,51,19-31-1,5
271,Michigan St.,51,24-27,5
272,Maryland,56,34-22,5
273,Coastal Carolina,61,36-25,5
274,Coppin St.,45,Dec-33,5
275,Eastern Ill.,53,20-33,5
276,Georgia,60,43-17,5
277,UC Davis,56,29-27,5
278,North Ala.,54,18-35-1,4
279,Pittsburgh,55,26-29,4
280,Toledo,59,27-32,4
281,Valparaiso,52,14-38,4
282,Western Ill.,50,13-37,4
283,Maine,49,Dec-37,4
284,Abilene Christian,58,33-25,4
285,Florida,66,36-30,4
286,Houston Christian,49,18-31,4
287,Lehigh,48,24-23-1,4
288,Lipscomb,56,22-34,4
289,Elon,53,21-32,3
290,Miami (FL),57,27-30,3
291,Massachusetts,53,24-29,3
292,Charleston So.,54,22-32,3
293,Fla. Atlantic,57,28-29,3
294,Arkansas,60,44-16,3
295,UMES,48,0-48,1
296,St. Thomas (MN),46,22-24,16
297,Stonehill,47,18-29,12
298,Bellarmine,55,Oct-45,10
299,Southern Ind.,59,27-32,9
300,Lindenwood,54,16-38,9
301,Tarleton St.,61,32-29,9
302,UC San Diego,53,30-23,8
303,Utah Tech,56,14-42,7
304,Queens (NC),55,14-41,6
305,Le Moyne,50,22-27-1,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
      ,,,,
