,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,RA,ER,ERA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,Rank,Conference,Record,Road,Neutral,Home,Non Div I,CBRank,Conf,CBR,Rec,SOR,Rk25,SOS,vs 1-25,vs 26-50,vs 51-100,vs 101-200,vs 201+,RPI,Prev,Trend,OPS,Rating
51,Troy,4,126,41,0.325,10.25,31.5,0.3253968253968254,36,9.0,33.0,19,11,3.0,99,40,10,0.933,10.0,2.5,5,0.482,1.25,43,10.75,72,0.571,10.6,4.09,1.42,59,Sun Belt,37-22,17-10,1-3,19-9,0-0,68,Sun Belt,0.517400365773838,3-1,121,124,255,0-0,0-1,0-0,0-0,3-0,,60,-8,1.053,18.3963
52,Notre Dame,3,101,27,0.267,9.0,33.666666666666664,0.26732673267326734,21,7.0,24.0,17,16,6.0,72,25,1,0.99,8.333333333333334,0.3333333333333333,2,0.397,0.6666666666666666,25,8.333333333333334,38,0.376,12.4,4.5,1.42,79,ACC,27-25,11-17,0-0,16-8,0-0,31,ACC,0.9640153494963384,2-1,82,24,144,0-0,0-0,0-0,2-1,0-0,,33,2,0.773,18.3143
53,Louisiana,4,122,31,0.254,7.75,30.5,0.2540983606557377,26,6.5,36.0,33,23,5.75,108,39,8,0.948,9.75,2.0,5,0.403,1.25,28,7.0,43,0.352,9.5,5.0,1.64,41,Sun Belt,42-20,14-6,2-6,26-8,0-0,53,Sun Belt,0.657720617092734,2-2,205,152,237,0-0,0-0,0-0,1-2,1-0,,51,-2,0.755,18.2256
54,Wofford,4,131,39,0.298,9.75,32.75,0.29770992366412213,30,7.5,35.0,25,21,5.4,105,40,7,0.954,10.0,1.75,13,0.466,3.25,35,8.75,54,0.412,7.5,2.31,1.54,50,SoCon,42-20,13-12,7-3,22-5,0-0,79,Southern,0.46656053446570916,3-1,108,251,238,0-0,0-0,0-1,0-0,3-0,,55,-24,0.878,18.113500000000002
55,Hawaii,4,136,42,0.309,10.5,34.0,0.3088235294117647,21,5.25,34.0,18,15,3.97,102,37,2,0.986,9.25,0.5,6,0.421,1.5,32,8.0,55,0.404,7.9,2.65,1.21,74,Big West,33-16,10-6,0-0,23-10,4-0,64,Big West,0.5583878656236584,4-0,39,93,250,0-0,0-0,0-0,0-0,4-0,,63,-1,0.825,17.956699999999998
56,Georgetown,4,137,39,0.285,9.75,34.25,0.2846715328467153,27,6.75,34.1,28,25,6.55,103,47,2,0.987,11.75,0.5,4,0.409,1.0,31,7.75,52,0.38,8.1,6.55,1.89,58,Big East,36-21,17-8,2-4,17-9,0-0,150,Big East,-0.0019243983819604627,2-2,168,189,178,0-0,0-0,0-0,1-2,1-0,,143,-7,0.7889999999999999,17.9221
57,Pittsburgh,3,109,36,0.33,12.0,36.333333333333336,0.3302752293577982,27,9.0,28.0,18,17,5.46,84,34,1,0.992,11.333333333333334,0.3333333333333333,6,0.476,2.0,37,12.333333333333334,67,0.615,9.6,2.89,1.43,88,ACC,26-29,8-13,6-4,12-12,0-0,62,ACC,0.5689809031962206,3-0,40,72,253,0-0,0-0,0-0,0-0,3-0,,62,0,1.091,17.7676
58,Tulane,3,99,32,0.323,10.666666666666666,33.0,0.32323232323232326,20,6.666666666666667,27.0,21,21,7.0,81,27,3,0.973,9.0,1.0,4,0.441,1.3333333333333333,32,10.666666666666666,51,0.515,11.3,5.0,1.78,82,AAC,36-26,12-12,5-1,19-13,0-0,69,American,0.5109566658816107,3-0,38,13,249,0-0,0-0,0-0,0-0,3-0,,84,15,0.956,17.7596
59,Samford,4,124,41,0.331,10.25,31.0,0.33064516129032256,26,6.5,31.0,23,19,5.52,93,25,4,0.967,6.25,1.0,11,0.481,2.75,39,9.75,58,0.468,12.2,3.19,1.39,92,SoCon,36-22,10-10,2-2,24-10,0-0,90,Southern,0.3904529971910479,3-1,105,169,234,0-0,0-0,0-0,0-1,3-0,,72,-18,0.9490000000000001,17.6445
60,Utah,4,156,49,0.314,12.25,39.0,0.3141025641025641,15,3.75,37.0,8,8,1.95,111,35,4,0.973,8.75,1.0,6,0.395,1.5,30,7.5,75,0.481,5.8,1.95,1.0,83,Pac-12,33-22,14-13,4-1,15-8,0-0,77,Big 12,0.4704859643031279,4-0,15,49,180,0-0,0-0,0-0,0-0,4-0,,78,1,0.876,17.307299999999998
61,Sam Houston,3,101,30,0.297,10.0,33.666666666666664,0.297029702970297,12,4.0,27.0,24,23,7.67,81,21,1,0.99,7.0,0.3333333333333333,5,0.395,1.6666666666666667,22,7.333333333333333,54,0.535,10.0,6.0,1.74,78,CUSA,34-24,10-15,1-2,23-7,0-0,89,Conference USA,0.3919521874703954,1-2,219,201,168,0-0,0-0,0-0,1-2,0-0,,76,-13,0.93,17.2883
62,Saint Mary's (CA),5,156,54,0.346,10.8,31.2,0.34615384615384615,14,2.8,38.0,16,14,3.32,114,41,1,0.994,8.2,0.2,10,0.424,2.0,50,10.0,84,0.538,10.7,5.92,1.37,107,WCC,34-22,12-13,1-2,21-7,0-0,61,West Coast,0.5720176265697858,4-1,41,18,129,0-0,1-0,0-0,3-1,0-0,,101,40,0.962,17.264499999999998
63,Indiana,4,133,28,0.211,7.0,33.25,0.21052631578947367,30,7.5,36.0,31,29,7.25,108,29,7,0.951,7.25,1.75,5,0.373,1.25,20,5.0,44,0.331,9.8,3.75,1.58,55,Big Ten,33-26,11-9,5-6,17-11,0-0,87,Big Ten,0.3973284133204461,0-4,275,268,76,0-1,0-0,0-1,0-2,0-0,,83,-4,0.704,17.1064
64,Mercer,3,99,27,0.273,9.0,33.0,0.2727272727272727,12,4.0,27.0,13,13,4.33,81,20,1,0.99,6.666666666666667,0.3333333333333333,7,0.387,2.3333333333333335,25,8.333333333333334,56,0.566,12.0,2.67,1.11,109,SoCon,29-29,9-14,3-2,17-13,0-0,99,Southern,0.3302415750048704,2-1,176,129,269,0-0,0-0,0-0,0-0,2-1,,98,-1,0.953,17.1019
65,Portland,4,131,29,0.221,7.25,32.75,0.22137404580152673,14,3.5,33.0,32,28,7.64,99,49,4,0.974,12.25,1.0,4,0.309,1.0,20,5.0,47,0.359,6.8,4.09,1.82,57,WCC,37-19,18-11,2-3,17-5,0-0,72,West Coast,0.48590325530338585,1-3,204,163,69,0-0,0-0,0-0,1-3,0-0,,74,2,0.6679999999999999,16.9484
66,Grand Canyon,4,134,35,0.261,8.75,33.5,0.26119402985074625,12,3.0,35.0,18,17,4.37,105,36,6,0.959,9.0,1.5,4,0.34,1.0,17,4.25,52,0.388,9.8,1.8,1.2,93,WAC,36-25,16-11,3-4,17-10,0-0,83,WAC,0.4188009931257525,2-2,137,267,133,0-1,0-0,1-0,1-1,0-0,,66,-17,0.728,16.8702
67,Purdue,4,135,43,0.319,10.75,33.75,0.31851851851851853,16,4.0,36.0,17,13,3.25,108,45,5,0.968,11.25,1.25,10,0.426,2.5,38,9.5,70,0.519,7.8,2.5,1.19,91,Big Ten,32-24,9-7,8-4,15-13,1-0,110,Big Ten,0.2369675013908923,4-0,54,62,268,0-0,0-0,0-0,0-0,4-0,,114,4,0.9450000000000001,16.8417
68,James Madison,4,117,19,0.162,4.75,29.25,0.1623931623931624,11,2.75,32.2,28,19,5.23,98,25,12,0.911,6.25,3.0,1,0.24,0.25,9,2.25,27,0.231,9.1,5.79,1.78,46,Sun Belt,36-25,9-16,4-3,23-6,0-0,101,Sun Belt,0.32813229068941135,1-3,185,111,38,0-3,0-0,0-0,0-0,1-0,,117,16,0.471,16.7814
69,Xavier,4,140,35,0.25,8.75,35.0,0.25,24,6.0,35.0,33,32,8.23,105,48,3,0.981,12.0,0.75,5,0.376,1.25,27,6.75,54,0.386,6.2,8.23,2.03,44,Big East,30-27,16-15,1-3,13-9,0-0,81,Big East,0.44511374248155733,2-2,88,112,42,0-2,0-0,1-0,1-0,0-0,,79,-2,0.762,16.7107
70,Old Dominion,3,95,19,0.2,6.333333333333333,31.666666666666668,0.2,14,4.666666666666667,24.0,17,15,5.62,72,18,4,0.957,6.0,1.3333333333333333,5,0.33,1.6666666666666667,9,3.0,23,0.242,11.2,5.62,1.46,75,Sun Belt,31-26,7-12,3-2,21-12,0-0,44,Sun Belt,0.7428482878236494,0-3,229,25,6,0-3,0-0,0-0,0-0,0-0,,64,20,0.5720000000000001,16.7014
71,Evansville,4,137,29,0.212,7.25,34.25,0.2116788321167883,13,3.25,37.0,32,25,6.08,111,45,9,0.945,11.25,2.25,6,0.304,1.5,16,4.0,39,0.285,7.5,4.62,1.51,52,MVC,39-26,18-18,4-0,17-8,0-0,98,Missouri Valley,0.3382189380283955,0-4,294,224,121,0-0,0-0,0-0,0-4,0-0,,90,-8,0.589,16.660800000000002
72,High Point,5,169,65,0.385,13.0,33.8,0.38461538461538464,33,6.6,41.0,23,19,4.17,123,37,4,0.976,7.4,0.8,6,0.495,1.2,59,11.8,123,0.728,10.5,3.51,1.34,117,Big South,35-27,11-12,2-1,22-14,0-0,144,Big South,0.01684908876112199,5-0,42,68,256,0-0,0-0,0-0,1-0,4-0,,154,10,1.2229999999999999,16.579
73,Stetson,4,130,36,0.277,9.0,32.5,0.27692307692307694,16,4.0,36.0,23,20,5.0,108,39,4,0.974,9.75,1.0,7,0.383,1.75,28,7.0,61,0.469,9.2,3.5,1.5,97,ASUN,41-22,12-11,1-1,28-10,0-0,93,Atlantic Sun,0.37291113726811065,3-1,48,108,96,0-0,0-0,1-1,2-0,0-0,,88,-5,0.852,16.5391
74,Nicholls,4,130,34,0.262,8.5,32.5,0.26153846153846155,20,5.0,34.1,31,21,5.5,103,22,9,0.933,5.5,2.25,5,0.381,1.25,19,4.75,40,0.308,10.2,6.82,1.66,69,Southland,34-22,14-11,3-2,17-9,4-0,154,Southland,-0.03321571366943501,2-2,230,271,270,0-0,0-0,0-0,0-0,2-2,,127,-27,0.6890000000000001,16.5356
75,Boston College,2,72,21,0.292,10.5,36.0,0.2916666666666667,10,5.0,17.0,19,18,9.53,51,23,1,0.987,11.5,0.5,2,0.388,1.0,18,9.0,38,0.528,10.1,4.76,1.71,89,ACC,22-31,12-12,3-1,7-18,0-0,94,ACC,0.36466141727725054,1-1,115,291,80,0-0,0-0,0-0,1-1,0-0,,75,-19,0.916,16.3171
76,Baylor,4,139,55,0.396,13.75,34.75,0.39568345323741005,21,5.25,34.0,11,9,2.38,102,28,6,0.956,7.0,1.5,8,0.5,2.0,43,10.75,83,0.597,12.2,2.91,1.09,139,Big 12,22-31,5-12,0-3,17-16,0-0,92,Big 12,0.3815017535677708,4-0,37,54,248,0-0,0-0,1-0,0-0,3-0,,96,4,1.097,16.3027
77,Missouri,3,101,24,0.238,8.0,33.666666666666664,0.2376237623762376,11,3.6666666666666665,25.0,26,22,7.92,75,29,4,0.963,9.666666666666666,1.3333333333333333,5,0.339,1.6666666666666667,18,6.0,42,0.416,10.1,1.8,1.6,102,SEC,23-32,7-16,1-2,15-14,0-0,111,SEC,0.2310538292448329,1-2,194,275,102,0-0,0-0,1-1,0-1,0-0,,120,9,0.755,15.8018
78,Liberty,4,135,38,0.281,9.5,33.75,0.2814814814814815,25,6.25,36.0,13,12,3.0,108,31,3,0.979,7.75,0.75,6,0.413,1.5,35,8.75,53,0.393,9.5,3.0,1.17,122,CUSA,24-34,7-20,1-0,16-14,0-0,71,Conference USA,0.5024971398421506,4-0,7,37,128,1-0,0-0,0-0,3-0,0-0,,80,9,0.806,15.6438
79,Iowa,3,107,30,0.28,10.0,35.666666666666664,0.2803738317757009,15,5.0,25.0,16,13,4.68,75,19,8,0.922,6.333333333333333,2.6666666666666665,3,0.384,1.0,17,5.666666666666667,52,0.486,12.2,4.68,1.28,104,Big Ten,29-23,7-12,4-7,18-4,2-0,78,Big Ten,0.4701391680978463,1-2,199,179,116,0-0,0-0,0-0,1-2,0-0,,70,-8,0.87,15.5777
80,Bryant,2,61,15,0.246,7.5,30.5,0.2459016393442623,4,2.0,15.2,6,6,3.45,47,13,2,0.968,6.5,1.0,3,0.324,1.5,8,4.0,24,0.393,12.6,6.89,1.34,123,America East,36-21,14-15,2-1,20-5,0-0,175,America East,-0.14420518377633562,1-1,166,175,175,0-0,0-0,0-0,0-0,1-1,,167,-8,0.7170000000000001,15.4983
81,UTSA,4,140,35,0.25,8.75,35.0,0.25,4,1.0,33.0,20,20,5.45,99,31,2,0.985,7.75,0.5,6,0.3,1.5,10,2.5,42,0.3,7.9,1.09,1.21,118,AAC,32-24,12-9,1-4,19-11,0-0,96,American,0.35686835764575714,1-3,223,191,107,0-0,0-0,0-1,1-2,0-0,,82,-14,0.6,15.4248
82,California Baptist,4,135,45,0.333,11.25,33.75,0.3333333333333333,15,3.75,36.0,20,17,4.25,108,32,2,0.986,8.0,0.5,9,0.429,2.25,32,8.0,67,0.496,9.5,3.5,1.19,129,WAC,38-24,13-10,4-3,21-11,0-0,105,WAC,0.28495408554866963,3-1,52,122,113,0-0,0-0,3-1,0-0,0-0,,106,1,0.925,15.409
83,Campbell,4,126,26,0.206,6.5,31.5,0.20634920634920634,6,1.5,33.0,29,27,7.36,99,31,7,0.949,7.75,1.75,11,0.299,2.75,10,2.5,41,0.325,9.3,2.73,1.36,85,CAA,31-22,8-12,1-0,22-10,0-0,82,CAA,0.4232335456710197,1-3,165,277,23,0-0,1-3,0-0,0-0,0-0,,65,-17,0.624,15.3713
84,Little Rock,3,98,27,0.276,9.0,32.666666666666664,0.2755102040816326,12,4.0,26.0,6,6,2.08,78,21,1,0.99,7.0,0.3333333333333333,4,0.377,1.3333333333333333,21,7.0,36,0.367,11.4,2.42,0.77,143,OVC,32-24,15-13,0-2,17-9,0-0,147,Ohio Valley,0.010000574325660327,3-0,9,96,146,0-0,0-0,3-0,0-0,0-0,,146,-1,0.744,15.362400000000001
85,Bowling Green,3,117,31,0.265,10.333333333333334,39.0,0.26495726495726496,9,3.0,28.0,33,30,9.64,84,32,5,0.959,10.666666666666666,1.6666666666666667,6,0.348,2.0,19,6.333333333333333,46,0.393,9.3,5.79,2.14,101,MAC,33-20,16-15,1-2,16-3,0-0,158,MAC,-0.07101425832967675,2-1,90,125,161,0-0,0-0,0-0,2-1,0-0,,157,-1,0.741,15.3505
86,FIU,4,145,53,0.366,13.25,36.25,0.36551724137931035,26,6.5,37.0,27,23,5.59,111,27,5,0.965,6.75,1.25,21,0.51,5.25,42,10.5,95,0.655,11.2,3.65,1.3,130,CUSA,27-30,9-9,2-4,16-17,0-0,146,Conference USA,0.011261795436166516,4-0,77,94,283,0-0,0-0,0-0,0-0,4-0,,148,2,1.165,15.3322
87,Charlotte,3,100,25,0.25,8.333333333333334,33.333333333333336,0.25,7,2.3333333333333335,27.0,6,6,2.0,81,24,2,0.981,8.0,0.6666666666666666,2,0.312,0.6666666666666666,11,3.6666666666666665,39,0.39,10.3,2.67,1.0,142,AAC,24-34,5-16,1-4,18-14,0-0,80,American,0.45668118213065023,2-1,55,41,64,0-0,1-1,1-0,0-0,0-0,,91,11,0.702,15.1204
88,McNeese,3,99,29,0.293,9.666666666666666,33.0,0.29292929292929293,12,4.0,27.0,13,11,3.67,81,35,4,0.967,11.666666666666666,1.3333333333333333,7,0.403,2.3333333333333335,20,6.666666666666667,51,0.515,7.7,2.67,1.19,114,Southland,30-27,7-15,3-2,20-10,2-0,139,Southland,0.052909693186808215,2-1,75,128,135,0-0,0-0,2-1,0-0,0-0,,140,1,0.918,15.0245
89,USC Upstate,3,104,30,0.288,10.0,34.666666666666664,0.28846153846153844,12,4.0,26.0,28,19,6.58,78,24,8,0.927,8.0,2.6666666666666665,6,0.387,2.0,26,8.666666666666666,64,0.615,8.3,3.81,1.73,95,Big South,36-24,13-13,0-2,23-9,0-0,124,Big South,0.18593533543814397,1-2,206,300,131,0-0,0-0,1-1,0-1,0-0,,87,-37,1.002,14.9747
90,Houston,3,92,19,0.207,6.333333333333333,30.666666666666668,0.20652173913043478,14,4.666666666666667,27.0,23,19,6.33,81,29,5,0.957,9.666666666666666,1.6666666666666667,1,0.312,0.3333333333333333,15,5.0,31,0.337,12.0,5.33,1.56,112,Big 12,26-28,4-14,2-2,20-12,0-0,114,Big 12,0.22605067854364685,2-1,132,144,225,0-0,0-0,0-0,2-1,0-0,,119,5,0.649,14.9418
91,VCU,4,115,27,0.235,6.75,28.75,0.23478260869565218,8,2.0,29.1,37,30,9.2,88,32,4,0.968,8.0,1.0,9,0.326,2.25,15,3.75,41,0.357,7.1,8.28,2.18,73,Atlantic 10,38-23,12-13,8-1,18-9,0-0,85,Atlantic 10,0.41008138870630073,1-3,190,52,45,0-0,1-2,0-0,0-1,0-0,,111,26,0.683,14.8992
92,Minnesota,3,106,26,0.245,8.666666666666666,35.333333333333336,0.24528301886792453,16,5.333333333333333,25.0,15,13,4.68,75,16,6,0.938,5.333333333333333,2.0,5,0.37,1.6666666666666667,23,7.666666666666667,46,0.434,11.9,5.04,1.32,119,Big Ten,24-23,12-12,3-4,9-7,1-0,192,Big Ten,-0.21957387953155014,1-2,180,139,74,0-0,0-0,0-0,1-2,0-0,,197,5,0.804,14.6829
93,CSUN,3,103,25,0.243,8.333333333333334,34.333333333333336,0.24271844660194175,17,5.666666666666667,25.2,22,19,6.66,77,29,3,0.972,9.666666666666666,1.0,1,0.352,0.3333333333333333,18,6.0,38,0.369,6.7,6.66,1.83,94,Big West,30-24,15-14,0-0,15-10,0-0,67,Big West,0.5227462783453563,1-2,179,140,72,0-0,0-0,0-0,1-2,0-0,,68,1,0.721,14.5104
94,Cal Poly,4,133,26,0.195,6.5,33.25,0.19548872180451127,14,3.5,33.0,38,37,10.09,99,28,2,0.984,7.0,0.5,2,0.282,0.5,13,3.25,36,0.271,10.1,7.64,2.06,105,Big West,35-22,11-10,0-0,24-12,0-0,65,Big West,0.5431690413915564,1-3,184,30,37,0-0,0-3,0-0,1-0,0-0,,71,6,0.5529999999999999,14.3428
95,UIC,4,135,32,0.237,8.0,33.75,0.23703703703703705,21,5.25,33.0,37,33,9.0,99,36,5,0.964,9.0,1.25,8,0.367,2.0,29,7.25,51,0.378,6.8,5.18,1.82,89,MVC,34-20,12-10,5-4,17-6,1-0,118,Missouri Valley,0.2098586460781718,1-3,249,176,181,0-0,0-0,0-0,0-0,1-3,,125,7,0.745,14.0853
96,FGCU,4,139,38,0.273,9.5,34.75,0.2733812949640288,21,5.25,37.0,26,19,4.62,111,34,11,0.929,8.5,2.75,12,0.406,3.0,28,7.0,57,0.41,9.5,2.92,1.38,127,ASUN,30-26,11-15,1-1,18-10,0-0,119,Atlantic Sun,0.20147150664743582,1-3,241,253,155,0-1,0-0,0-0,1-2,0-0,,105,-14,0.8160000000000001,13.9759
97,VMI,4,107,43,0.402,10.75,26.75,0.40186915887850466,41,10.25,29.0,14,10,3.1,87,26,4,0.966,6.5,1.0,10,0.577,2.5,54,13.5,64,0.598,10.2,3.41,1.28,148,SoCon,25-29,10-19,1-2,14-8,2-0,188,Southern,-0.19724754989359758,4-0,127,75,291,0-0,0-0,0-0,0-0,4-0,,189,1,1.1749999999999998,13.9591
98,UC Davis,4,118,30,0.254,7.5,29.5,0.2542372881355932,19,4.75,36.0,15,6,1.5,108,31,5,0.965,7.75,1.25,4,0.371,1.0,20,5.0,42,0.356,6.8,2.25,1.08,133,Big West,29-27,14-16,0-0,15-11,0-0,225,Big West,-0.4290590848998194,3-1,100,302,222,0-0,0-0,0-0,2-1,1-0,,177,-48,0.727,13.7827
99,New Orleans,3,98,34,0.347,11.333333333333334,32.666666666666664,0.3469387755102041,9,3.0,21.2,35,29,12.05,65,14,3,0.963,4.666666666666667,1.0,3,0.404,1.0,26,8.666666666666666,73,0.745,10.8,10.38,2.86,128,Southland,28-26,9-13,1-1,18-12,3-0,134,Southland,0.0739153686712121,1-2,256,141,251,0-0,0-0,0-0,0-0,1-2,,138,4,1.149,13.7109
100,Stanford,4,155,55,0.355,13.75,38.75,0.3548387096774194,18,4.5,35.0,22,18,4.63,105,39,5,0.966,9.75,1.25,3,0.429,0.75,42,10.5,81,0.523,7.7,3.34,1.2,156,Pac-12,22-33,7-16,2-1,13-16,0-0,40,ACC,0.7839318686857148,4-0,10,47,150,0-0,0-0,0-0,4-0,0-0,,41,1,0.952,13.1355
101,UCLA,4,134,44,0.328,11.0,33.5,0.3283582089552239,39,9.75,36.0,8,5,1.25,108,27,2,0.985,6.75,0.5,12,0.511,3.0,52,13.0,69,0.515,10.5,3.25,0.92,181,Pac-12,19-33,4-20,0-2,15-11,0-0,41,Big Ten,0.7677728493980819,4-0,6,6,110,0-0,0-0,4-0,0-0,0-0,,47,6,1.026,12.9844
